"ID"	"Link"	"Alias"	"Lang"	"Primary"	"FileVersion"
902	1618	"Tomato quiche, baked (with cake dough)"	"E"	1	200
903	1617	"Tomato quiche, baked (with puff pastry)"	"E"	1	200
904	348	"Tomato, raw"	"E"	1	200
905	667	"Tomato sauce"	"E"	1	200
906	670	"Tomato soup"	"E"	1	200
907	1027	"Tomato, stewed (without addition of fat and salt)"	"E"	1	200
908	615	"Tomme cheese"	"E"	1	200
909	10378	"Tongue (average of veal and beef), raw"	"E"	1	200
910	932	"Tortilla chips, corn-based"	"E"	1	200
911	289	"Trout, raw"	"E"	1	200
912	13349	"Trout, whole, boiled (without addition of fat and salt)"	"E"	1	200
913	418	"Tuna in oil, drained"	"E"	1	200
914	417	"Tuna in water, drained"	"E"	1	200
915	1613	"Tuna salad on oil-vinagre-dressing (made from tuna in water)"	"E"	1	200
916	713	"Turkey, breast (schnitzel, ground), raw"	"E"	1	200
917	13275	"Turkey, brest, schnitzel, ground, pan fried (without addition of fat and salt)"	"E"	1	200
918	887	"Tyrolese cake"	"E"	1	200
919	536	"Vacherin Fribourgeois"	"E"	1	200
920	534	"Vacherin Mont d'or"	"E"	1	200
921	13413	"Vanille cream, cooked"	"E"	1	200
922	1106	"Veal (average excluding offal, chop), raw"	"E"	1	200
923	1071	"Veal, breast, cooked (without addition of fat and salt)"	"E"	1	200
924	1	"Veal, breast, raw"	"E"	1	200
925	13325	"Veal, chopped, pan fried  (without addition of fat and salt)"	"E"	1	200
926	13	"Veal, chopped, raw"	"E"	1	200
927	2	"Veal, chop, raw"	"E"	1	200
928	14	"Veal, eye of round, raw"	"E"	1	200
929	660	"Veal, filet, raw"	"E"	1	200
930	3	"Veal, filet, steak, raw"	"E"	1	200
931	673	"Veal, kidney, raw"	"E"	1	200
932	13377	"Veal, knuckle, braised (whitout addition of fat and salt)"	"E"	1	200
933	661	"Veal, knuckle, raw"	"E"	1	200
934	10	"Veal, liver, raw"	"E"	1	200
935	11	"Veal, minced, raw"	"E"	1	200
936	1667	"Veal piccata, prepared"	"E"	1	200
937	15	"Veal, ragout, raw"	"E"	1	200
938	1669	"Veal ragout with gravy, prepared"	"E"	1	200
939	662	"Veal, round, schnitzel, raw"	"E"	1	200
940	1681	"Veal schnitzel, pan fried in rapeseed oil HOLL"	"E"	1	200
941	13316	"Veal schnitzel, pan fried (without addition of fat and salt)"	"E"	1	200
942	1073	"Veal, shoulder, roast in oven (without addition of fat and salt)"	"E"	1	200
943	658	"Veal, shoulder, roast, raw"	"E"	1	200
944	13324	"Veal,steak, pan fried (without addition of fat and salt)"	"E"	1	200
945	672	"Veal, sweetbread, raw"	"E"	1	200
946	674	"Veal, tongue, raw"	"E"	1	200
947	1580	"Vegetable au gratin, baked"	"E"	1	200
948	1666	"Vegetable lasagne, prepared"	"E"	1	200
949	1152	"Vegetables (average), raw"	"E"	1	200
950	514	"Vermouth, 15 vol%"	"E"	1	200
951	1202	"Vinaigrette dressing (with rapeseed oil)"	"E"	1	200
952	1693	"Vinegar"	"E"	1	200
953	1199	"Vinegar-oil-salad dressing (with rapeseed oil)"	"E"	1	200
954	1680	"Vitello tonnato with garnish"	"E"	1	200
955	1679	"Vitello tonnato without garnish"	"E"	1	200
956	271	"Walnut"	"E"	1	200
957	13402	"Walnut oil"	"E"	1	200
958	10542	"Wasabi Paste"	"E"	1	200
959	371	"Water cress, raw"	"E"	1	200
960	893	"Water ice"	"E"	1	200
961	402	"Watermelon, fresh"	"E"	1	200
962	822	"Weggli, bread roll made with butter"	"E"	1	200
963	1273	"Weisswurst (veal sausage)"	"E"	1	200
964	431	"Wheat bran, raw"	"E"	1	200
965	204	"Wheat flour, bakery, type 550"	"E"	1	200
966	203	"Wheat flour, high ash, type 1100"	"E"	1	200
967	207	"Wheat flour, semi white, type 720"	"E"	1	200
968	205	"Wheat flour, white, type 400"	"E"	1	200
969	206	"Wheat flour, wholemeal, type 1700"	"E"	1	200
970	430	"Wheat germ"	"E"	1	200
971	593	"Wheat germ oil"	"E"	1	200
972	1588	"Wheat risotto, cooked"	"E"	1	200
973	734	"Wheat, soft, whole grain"	"E"	1	200
974	897	"Wheat starch"	"E"	1	200
975	939	"Wheat wolemeal flakes"	"E"	1	200
976	823	"White bread"	"E"	1	200
977	828	"White bread from Ticino"	"E"	1	200
978	453	"White cabbage, raw"	"E"	1	200
979	1028	"White cabbage, steamed (without addition of salt)"	"E"	1	200
980	1029	"White cabbage, stewed (without addition of fat and salt)"	"E"	1	200
981	211	"Whitefish, raw"	"E"	1	200
982	1064	"Wholemeal pasta egg-free, cooked in salted water (uniodised)"	"E"	1	200
983	801	"Wholemeal pasta egg-free, dry"	"E"	1	200
984	802	"Wholemeal rice waffles"	"E"	1	200
985	62	"Whole milk, pasteurized"	"E"	1	200
986	585	"Whole milk powder"	"E"	1	200
987	63	"Whole milk, UHT"	"E"	1	200
988	821	"Wholewheat bread"	"E"	1	200
989	1082	"Wienerli (Swiss sausage)"	"E"	1	200
990	1589	"Wienerli (Swiss sausage), cooked"	"E"	1	200
991	489	"Wild boar, raw"	"E"	1	200
992	509	"Wine red, 12 vol%"	"E"	1	200
993	10477	"Wine red, 13.5 vol%"	"E"	1	200
994	508	"Wine red, 9 vol%"	"E"	1	200
995	510	"Wine white, 11 vol%"	"E"	1	200
996	511	"Wine white, 12.5 vol%"	"E"	1	200
997	10478	"Wine white, spritzer, sour"	"E"	1	200
998	10479	"Wine white, spritzer, sweet"	"E"	1	200
999	763	"Yeast (baking), pressed"	"E"	1	200
1000	910	"Yeast dough (with butter), sweet, raw"	"E"	1	200
1001	1177	"Yeast dough (with vegetable fat), sweet, raw"	"E"	1	200
1002	839	"Yeast, dried"	"E"	1	200
1003	403	"Yellow plum, fresh"	"E"	1	200
1004	1192	"Yoghurt with added sugar (average)"	"E"	1	200
1005	58	"Yogurt Bifidus, plain"	"E"	1	200
1006	54	"Yogurt, chocolate"	"E"	1	200
1007	1612	"Yogurt dressing (without oil)"	"E"	1	200
1008	590	"Yogurt flavored, low fat, with sweetener"	"E"	1	200
1009	55	"Yogurt, hazelnut"	"E"	1	200
1010	587	"Yogurt, low fat"	"E"	1	200
1011	57	"Yogurt, mocca"	"E"	1	200
1012	99	"Yogurt, mocca, organic"	"E"	1	200
1013	52	"Yogurt natural"	"E"	1	200
1014	53	"Yogurt, strawberry"	"E"	1	200
1015	56	"Yogurt, vanilla"	"E"	1	200
1016	588	"Yogurt with fruit, low fat, with sweetener"	"E"	1	200
1017	759	"Zampone"	"E"	1	200
1018	759	"Stuffed porc foot"	"E"	0	200
1019	506	"Ziger white"	"E"	1	200
1020	1661	"Zucchini piccata, prepared"	"E"	1	200
1021	367	"Zucchini, raw"	"E"	1	200
1022	1657	"Zucchini slices, breaded, prepared"	"E"	1	200
1023	1031	"Zucchini, stewed (without addition of fat and salt)"	"E"	1	200
1024	1251	"Aberlour 10 years old Malt Scotch Whisky (43 vol%)"	"E"	1	200
1025	1252	"Absolut Vodka (40 vol%)"	"E"	1	200
1026	13428	"Almond drink, plain (Average of branded products)"	"E"	1	200
1027	13433	"Almond drink, with calcium and vitamin fortified (Average of branded foods)"	"E"	1	200
1028	1253	"Amaro Ramazzotti (30 vol%)"	"E"	1	200
1029	1254	"Ballantine's 12 years old blended Scotch Whisky (40 vol%)"	"E"	1	200
1030	1255	"Ballantine's Finest blended Scotch Whisky (40 vol%)"	"E"	1	200
1031	1160	"Beer, Lager (average product range)"	"E"	1	200
1032	1159	"Beer, without alcohol (average product range)"	"E"	1	200
1033	1145	"Calanda Lager (4.8 vol%)"	"E"	1	200
1034	1146	"Calanda Lemon (2.4 vol%)"	"E"	1	200
1035	1138	"Cardinal Lager (4.8 vol%)"	"E"	1	200
1036	1155	"Cardinal sans alcool (<0.5 vol%)"	"E"	1	200
1037	1139	"Carlsberg (5 vol%)"	"E"	1	200
1038	1156	"Carlsberg Alkoholfrei (<0.5 vol%)"	"E"	1	200
1039	1256	"Chivas Regal 12 years old blended Scotch Whisky (40 vol%)"	"E"	1	200
1040	1153	"Clausthaler Classic (0.45 vol%)"	"E"	1	200
1041	1154	"Clausthaler Extra Herb (0.45 vol%)"	"E"	1	200
1042	1157	"Eichhof Alkoholfrei (0.4 vol%)"	"E"	1	200
1043	1147	"Eichhof Hubertus (6 vol%)"	"E"	1	200
1044	1148	"Eichhof Klosterbräu (5.1 vol%)"	"E"	1	200
1045	1149	"Eichhof Lager (4.8 vol%)"	"E"	1	200
1046	13435	"Energy drink, with sugar (Average of branded products)"	"E"	1	200
1047	13436	"Energy drink, with sweetener (Average of branded products)"	"E"	1	200
1048	1140	"Feldschlösschen 2.4 (2.4 vol%)"	"E"	1	200
1049	1158	"Feldschlösschen Alkoholfrei (<0.5 vol%)"	"E"	1	200
1050	1141	"Feldschlösschen Bügel (4.8 vol%)"	"E"	1	200
1051	1142	"Feldschlösschen Hopfenperle (5.2 vol%)"	"E"	1	200
1052	1143	"Feldschlösschen Original (4.8 vol%)"	"E"	1	200
1053	1144	"Feldschlösschen Urtrüb (5 vol%)"	"E"	1	200
1054	1257	"Four Roses Bourbon (40 vol%)"	"E"	1	200
1055	1258	"Glenlivet 12 years old Malt Scotch Whisky (40 vol%)"	"E"	1	200
1056	1259	"Grappa Fior di Vite Ramazzotti (40 vol%)"	"E"	1	200
1057	13425	"Greek yogurt, with cream, plain (Average of branded products)"	"E"	1	200
1058	1260	"Havana Club Anejo Reserva (40 vol%)"	"E"	1	200
1059	1150	"Heineken Lager (5 vol%)"	"E"	1	200
1060	1151	"Ittinger (5.6 vol%)"	"E"	1	200
1061	1261	"Jameson Irish Whiskey (40 vol%)"	"E"	1	200
1062	1262	"Malibu Coconut (21 vol%)"	"E"	1	200
1063	13434	"Malt drink with cocoa, with vitamin and mineral fortified, powder (Average of branded prod"	"E"	1	200
1064	538	"Mineral water, Adelbodner"	"E"	1	200
1065	1171	"Mineral water, Adello"	"E"	1	200
1066	540	"Mineral water, Allegra (Malix)"	"E"	1	200
1067	1096	"Mineral water, Appenzell (Gontenbad)"	"E"	1	200
1068	73	"Mineral water, Aproz (Aproz)"	"E"	1	200
1069	104	"Mineral water, Aquella (Bouillets)"	"E"	1	200
1070	541	"Mineral water, Arkina"	"E"	1	200
1071	1178	"Mineral water Badoit (St Galmier)"	"E"	1	200
1072	1172	"Mineral water, Cristallo (Lostorf)"	"E"	1	200
1073	1046	"Mineral water, Cristalp (Saxon)"	"E"	1	200
1074	1044	"Mineral water, Elmer"	"E"	1	200
1075	48	"Mineral water, Eptinger"	"E"	1	200
1076	521	"Mineral water, Evian (Cachat)"	"E"	1	200
1077	522	"Mineral water, Henniez"	"E"	1	200
1078	1173	"Mineral water, Knutwiler"	"E"	1	200
1079	523	"Mineral water, Passugger (Theophilquelle)"	"E"	1	200
1080	537	"Mineral water, Rhäzünser"	"E"	1	200
1081	525	"Mineral water, San Pellegrino"	"E"	1	200
1082	1095	"Mineral water, Valais (Montis)"	"E"	1	200
1083	45	"Mineral water, Valser Classic/Naturelle (St. Petersquelle)"	"E"	1	200
1084	1047	"Mineral water, Valser Silence (St. Paulsquelle)"	"E"	1	200
1085	1179	"Mineral water Vichy-Célestins"	"E"	1	200
1086	550	"Mineral water, Volvic"	"E"	1	200
1087	548	"Mineral water, Zurzacher"	"E"	1	200
1088	11525	"Naturaplan Bio Beer unfiltered without alcohol <0.5 vol% (Coop)"	"E"	1	200
1089	13426	"Oat drink, plain (Average of branded products)"	"E"	1	200
1090	13430	"Oat Drink, plain, with calcium fortified (Average of branded foods)"	"E"	1	200
1091	1263	"Pastis 51 de Marseille (45 vol%)"	"E"	1	200
1092	13427	"Rice drink, plain (Average of branded products)"	"E"	1	200
1093	13429	"Rice drink, plain, with calcium fortified (Average of branded foods)"	"E"	1	200
1094	1264	"Sandeman Ruby Porto (20 vol%)"	"E"	1	200
1095	13432	"Soya drink, plain, with calcium and vitamin fortified (Average of branded foods)"	"E"	1	200
1096	13431	"Soya drink, plain, with calcium fortified (Average of branded products)"	"E"	1	200
1097	13422	"Soya sauce (Average of branded foods)"	"E"	1	200
1098	1265	"Suze (20 vol%)"	"E"	1	200
1099	13421	"Vanille sugar (Average of branded foods)"	"E"	1	200
1100	1266	"Wodka Wyborowa (40 vol%)"	"E"	1	200
1101	13424	"Worcester Sauce (Average of branded products)"	"E"	1	200
1102	10533	"Agar Agar"	"D"	1	200
1103	10536	"Agavensirup"	"D"	1	200
1104	10536	"Agavendicksaft"	"D"	0	200
1105	1478	"Älplermagronen, zubereitet"	"D"	1	200
1106	13398	"Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz)"	"D"	1	200
1107	13397	"Amaranth, Samen, roh"	"D"	1	200
1108	868	"Amaretti (Mandelgebäck)"	"D"	1	200
1109	617	"Ananas, gezuckert (Konserve)"	"D"	1	200
1110	377	"Ananas, roh"	"D"	1	200
1111	618	"Ananas, ungezuckert (Konserve)"	"D"	1	200
1112	1049	"Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker)"	"D"	1	200
1113	435	"Apfel, geschält, getrocknet"	"D"	1	200
1114	435	"Dörrapfel"	"D"	0	200
1115	1479	"Apfelkuchen, gebacken (mit Blätterteig)"	"D"	1	200
1116	1479	"Apfelwähe"	"D"	0	200
1117	1480	"Apfelkuchen, gebacken (mit Kuchenteig)"	"D"	1	200
1118	627	"Apfelmus, gezuckert (Konserve)"	"D"	1	200
1119	628	"Apfelmus, ungezuckert (Konserve)"	"D"	1	200
1120	378	"Apfel, roh"	"D"	1	200
1121	568	"Apfelsaft"	"D"	1	200
1122	568	"Süssmost"	"D"	0	200
1123	512	"Apfelwein, 4 vol%"	"D"	1	200
1124	512	"Apfelmost"	"D"	0	200
1125	512	"Saurer Most"	"D"	0	200
1126	512	"Cider"	"D"	0	200
1127	513	"Apfelwein, 6.2 vol%"	"D"	1	200
1128	554	"Appenzeller, viertelfett"	"D"	1	200
1129	553	"Appenzeller, vollfett"	"D"	1	200
1130	1051	"Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker)"	"D"	1	200
1131	1051	"Marille"	"D"	0	200
1132	469	"Aprikose, getrocknet"	"D"	1	200
1133	469	"Dörraprikose"	"D"	0	200
1134	621	"Aprikose, gezuckert (Konserve)"	"D"	1	200
1135	1481	"Aprikosenkuchen, gebacken (mit Blätterteig)"	"D"	1	200
1136	1481	"Aprikosenwähe"	"D"	0	200
1137	1482	"Aprikosenkuchen, gebacken (mit Kuchenteig)"	"D"	1	200
1138	379	"Aprikose, roh"	"D"	1	200
1139	623	"Aprikose, ungezuckert (Konserve)"	"D"	1	200
1140	1003	"Aubergine, gedünstet (ohne Zugabe von Fett und Salz)"	"D"	1	200
1141	1003	"Eierfrucht"	"D"	0	200
1142	1659	"Auberginen-Piccata, zubereitet"	"D"	1	200
1143	1658	"Auberginenscheiben, paniert, zubereitet"	"D"	1	200
1144	349	"Aubergine, roh"	"D"	1	200
1145	10353	"Aufschnitt (Durchschnitt)"	"D"	1	200
1146	380	"Avocado, roh"	"D"	1	200
1147	763	"Bäckerhefe, gepresst"	"D"	1	200
1148	763	"Bierhefe"	"D"	0	200
1149	1577	"Bami Goreng, zubereitet"	"D"	1	200
1150	740	"Banane, gedörrt"	"D"	1	200
1151	740	"Bananenchips"	"D"	0	200
1152	741	"Banane, getrocknet"	"D"	1	200
1153	381	"Banane, roh"	"D"	1	200
1154	464	"Basilikum, roh"	"D"	1	200
1155	1248	"Basler Leckerli"	"D"	1	200
1156	13344	"Bauernbratwurst, gebraten (ohne Zusatz von Fett un Salz)"	"D"	1	200
1157	841	"Bauernbratwurst, roh"	"D"	1	200
1158	841	"Schweinsbratwurst"	"D"	0	200
1159	1268	"Bauernbrot"	"D"	1	200
1160	1268	"Burebrot"	"D"	0	200
1161	784	"Bauernsalami"	"D"	1	200
1162	784	"Salami nach Bauernart"	"D"	0	200
1163	787	"Bauernschüblig"	"D"	1	200
1164	271	"Baumnuss"	"D"	1	200
1165	271	"Walnuss"	"D"	0	200
1166	831	"Baumnussbrot"	"D"	1	200
1167	13402	"Baumnussöl"	"D"	1	200
1168	12981	"Béchamelsauce hausgemacht"	"D"	1	200
1169	1122	"Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker)"	"D"	1	200
1170	1119	"Beeren (Durchschnitt), roh"	"D"	1	200
1171	851	"Berliner"	"D"	1	200
1172	851	"Pfannkuchen"	"D"	0	200
1173	1211	"Berner Alpkäse"	"D"	1	200
1174	1212	"Berner Hobelkäse"	"D"	1	200
1175	790	"Berner Zungenwurst"	"D"	1	200
1176	859	"Biber"	"D"	1	200
1177	13420	"Bier, alkoholfrei"	"D"	1	200
1178	839	"Bierhefe, getrocknet"	"D"	1	200
1179	839	"Bäckerhefe"	"D"	0	200
1180	839	"Trockenhefe"	"D"	0	200
1181	839	"Hefepulver"	"D"	0	200
1182	816	"Bier, Lager"	"D"	1	200
1183	1183	"Bier Panache (Durchschnitt)"	"D"	1	200
1184	789	"Bierwurst"	"D"	1	200
1185	1198	"Birchermüesli, zubereitet (ungezuckert)"	"D"	1	200
1186	1050	"Birne, gedünstet, abgetropft (ohne Zugabe von Zucker)"	"D"	1	200
1187	433	"Birne, getrocknet"	"D"	1	200
1188	433	"Dörrbirne"	"D"	0	200
1189	433	"Trockenbirne"	"D"	0	200
1190	620	"Birne, gezuckert (Konserve)"	"D"	1	200
1191	1483	"Birnenkuchen, gebacken (mit Blätterteig)"	"D"	1	200
1192	1483	"Birnenwähe"	"D"	0	200
1193	1484	"Birnenkuchen, gebacken (mit Kuchenteig)"	"D"	1	200
1194	562	"Birnensaft"	"D"	1	200
1195	862	"Birnenweggen"	"D"	1	200
1196	382	"Birne, roh"	"D"	1	200
1197	626	"Birne, ungezuckert (Konserve)"	"D"	1	200
1198	604	"Blanc battu mit Früchten, mit Süsstoffen"	"D"	1	200
1199	13395	"Blanc battu, nature, mager"	"D"	1	200
1200	904	"Blätterteig hausgemacht (Butter), ungebacken"	"D"	1	200
1201	905	"Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken"	"D"	1	200
1202	928	"Blätterteigstängel"	"D"	1	200
1203	928	"Flûtes"	"D"	0	200
1204	1165	"Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz)"	"D"	1	200
1205	1166	"Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett)"	"D"	1	200
1206	1164	"Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett)"	"D"	1	200
1207	1127	"Blattsalat (Durchschnitt), roh"	"D"	1	200
1208	1191	"Blauschimmelkäse (Durchschnitt)"	"D"	1	200
1209	1004	"Blumenkohl, gedämpft (ohne Zugabe von Salz)"	"D"	1	200
1210	350	"Blumenkohl, roh"	"D"	1	200
1211	778	"Blutwurst"	"D"	1	200
1212	13388	"Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz)"	"D"	1	200
1213	13387	"Bohne (alle Arten), getrocknet"	"D"	1	200
1214	13387	"Weisse Bohne"	"D"	0	200
1215	13387	"Rote Bohne"	"D"	0	200
1216	13387	"Borlotti Bohne"	"D"	0	200
1217	1009	"Bohne, grün, gedämpft (ohne Zugabe von Salz)"	"D"	1	200
1218	1009	"Gartenbohne"	"D"	0	200
1219	473	"Bohne, grün, getrocknet"	"D"	1	200
1220	473	"Dörrbohne"	"D"	0	200
1221	353	"Bohne, grün, roh"	"D"	1	200
1222	653	"Bolognaisesauce"	"D"	1	200
1223	653	"Tomaten-Hackfleischsauce"	"D"	0	200
1224	668	"Bouillon, Fleisch, zubereitet"	"D"	1	200
1225	668	"Klare Brühe"	"D"	0	200
1226	665	"Bouillon, Geflügel, zubereitet"	"D"	1	200
1227	664	"Bouillon, Gemüse, zubereitet"	"D"	1	200
1228	642	"Branchli (Milchschokolade mit Haselnusscrèmefüllung)"	"D"	1	200
1229	642	"Schokoladenstängeli"	"D"	0	200
1230	518	"Branntwein aus Getreide, 40 vol% (z.B. Whisky)"	"D"	1	200
1231	518	"Getreideschnaps"	"D"	0	200
1232	519	"Branntwein aus Wein (z.B.Cognac, Brandy)"	"D"	1	200
1233	520	"Branntwein aus Zuckerrohr (z.B. Rum)"	"D"	1	200
1234	520	"Zuckerrohrschnaps"	"D"	0	200
1235	50	"Bratbutter"	"D"	1	200
1236	650	"Bratensauce, gebunden"	"D"	1	200
1237	651	"Bratensauce, klar"	"D"	1	200
1238	705	"Bresaola"	"D"	1	200
1239	616	"Brie, Rahm"	"D"	1	200
1240	613	"Brie, vollfett"	"D"	1	200
1241	1005	"Broccoli, gedämpft (ohne Zugabe von Salz)"	"D"	1	200
1242	351	"Broccoli, roh"	"D"	1	200
1243	383	"Brombeere, roh"	"D"	1	200
1244	1594	"Brombeerkuchen, gebacken (mit Blätterteig)"	"D"	1	200
1245	1594	"Brombeerwähe"	"D"	0	200
1246	1596	"Brombeerkuchen, gebacken (mit Kuchenteig)"	"D"	1	200
1247	1485	"Brombeerkuchen, gebacken (mit süssem Mürbeteig)"	"D"	1	200
1248	10446	"Brot (Durchschnitt)"	"D"	1	200
1249	1112	"Brühwürste geräuchert (Durchschnitt)"	"D"	1	200
1250	1113	"Brühwürste ungeräuchert (Durchschnitt)"	"D"	1	200
1251	371	"Brunnenkresse, roh"	"D"	1	200
1252	864	"Brunsli"	"D"	1	200
1253	421	"Buchweizen, Korn geschält"	"D"	1	200
1254	420	"Buchweizenmehl"	"D"	1	200
1255	669	"Bündner Gerstensuppe"	"D"	1	200
1256	842	"Bürli (halbweiss)"	"D"	1	200
1257	836	"Buttergipfeli, hell"	"D"	1	200
1258	834	"Buttergipfeli, Vollkorn"	"D"	1	200
1259	834	"Rusticogipfeli"	"D"	0	200
1260	529	"Buttermilch"	"D"	1	200
1261	822	"Butterweggli"	"D"	1	200
1262	820	"Butterzopf"	"D"	1	200
1263	1460	"Butterzopf, Vollkorn"	"D"	1	200
1264	1188	"Café crème, ungezuckert"	"D"	1	200
1265	877	"Cake Financier"	"D"	1	200
1266	10486	"Calimocho (Rotwein mit Cola)"	"D"	1	200
1267	622	"Camembert, halbfett"	"D"	1	200
1268	619	"Camembert, Rahm"	"D"	1	200
1269	614	"Camembert, vollfett"	"D"	1	200
1270	1644	"Cannelloni mit Fleischfüllung, zubereitet"	"D"	1	200
1271	1646	"Cannelloni mit Spinat-Ricotta-Füllung, zubereitet"	"D"	1	200
1272	1121	"Cappuccino (ohne Schokoladenpulver), ungezuckert"	"D"	1	200
1273	1692	"Capuns, zubereitet"	"D"	1	200
1274	1692	"Mangoldwickel"	"D"	0	200
1275	275	"Cashewnuss"	"D"	1	200
1276	275	"Cashewkern"	"D"	0	200
1277	1081	"Cervelat"	"D"	1	200
1278	1081	"Chlöpfer"	"D"	0	200
1279	1081	"Stumpen"	"D"	0	200
1280	1081	"Bockwurst"	"D"	0	200
1281	1037	"Champignon, gedünstet (ohne Zugabe von Fett und Salz)"	"D"	1	200
1282	629	"Champignon (Konserve)"	"D"	1	200
1283	375	"Champignon, roh"	"D"	1	200
1284	1006	"Chicorée, gedämpft (ohne Zugabe von Salz)"	"D"	1	200
1285	1006	"Brüsseler Endivie"	"D"	0	200
1286	447	"Chicorée, roh"	"D"	1	200
1287	1648	"Chili con carne, zubereitet"	"D"	1	200
1288	1007	"Chinakohl, gedünstet (ohne Zugabe von Fett und Salz)"	"D"	1	200
1289	1007	"Pekingkohl"	"D"	0	200
1290	1007	"Selleriekohl"	"D"	0	200
1291	1007	"Japankohl"	"D"	0	200
1292	437	"Chinakohl, roh"	"D"	1	200
1293	867	"Chräbeli (Anisgebäck)"	"D"	1	200
1294	458	"Cicorino rot, roh"	"D"	1	200
1295	1683	"Cocktailsauce, selbst zubereitet mit Rapsöl-Mayonnaise"	"D"	1	200
1296	498	"Colagetränk, gezuckert"	"D"	1	200
1297	499	"Colagetränk, mit Süssstoffen"	"D"	1	200
1298	1573	"Coleslaw Salat, zubereitet"	"D"	1	200
1299	715	"Coppa"	"D"	1	200
1300	1649	"Cordon Bleu aus Kalbsplätzli, gebraten"	"D"	1	200
1301	1650	"Cordon Bleu aus Schweinsplätzli, gebraten"	"D"	1	200
1302	940	"Cornflakes"	"D"	1	200
1303	758	"Cotechino"	"D"	1	200
1304	1093	"Cotto (Fleischerzeugnis)"	"D"	1	200
1305	950	"Cracker, Salzgebäck, Apérogebäck"	"D"	1	200
1306	924	"Crèmeschnitte"	"D"	1	200
1307	1489	"Crêpes mit Camembert, zubereitet"	"D"	1	200
1308	1491	"Crêpes mit Champignonfüllung, zubereitet"	"D"	1	200
1309	1493	"Crêpes mit Gemüsefüllung, zubereitet"	"D"	1	200
1310	1494	"Crêpes mit Nutella, zubereitet"	"D"	1	200
1311	1495	"Crêpes mit Schinken, zubereitet"	"D"	1	200
1312	1496	"Crêpes mit Speck, zubereitet"	"D"	1	200
1313	1488	"Crêpes mit Zimt und Zucker, zubereitet"	"D"	1	200
1314	1487	"Crêpes nature, zubereitet"	"D"	1	200
1315	1498	"Crevettencocktail, zubereitet"	"D"	1	200
1316	384	"Dattel, getrocknet"	"D"	1	200
1317	1041	"Dinkelmehl, Ruch, Typ 1100"	"D"	1	200
1318	1042	"Dinkelmehl, Vollkorn, Typ 1900"	"D"	1	200
1319	1043	"Dinkelmehl, weiss, Typ 550"	"D"	1	200
1320	589	"Distelöl"	"D"	1	200
1321	798	"Doppelrahm, pasteurisiert"	"D"	1	200
1322	13350	"Dorsch, Filet, gedämpft (ohne Zusatz von Fett und Salz)"	"D"	1	200
1323	285	"Dorsch, roh"	"D"	1	200
1324	285	"Kabeljau"	"D"	0	200
1325	10535	"Dulce de Leche"	"D"	1	200
1326	10535	"Milchkonfitüre"	"D"	0	200
1327	272	"Edelkastanie, roh"	"D"	1	200
1328	272	"Marroni"	"D"	0	200
1329	765	"Egli, roh"	"D"	1	200
1330	765	"Flussbarsch"	"D"	0	200
1331	517	"Eierlikör, 16.5 vol%"	"D"	1	200
1332	1502	"Eieromeletten mit Käse, zubereitet"	"D"	1	200
1333	1502	"Französische Omeletten"	"D"	0	200
1334	1501	"Eieromeletten mit Schinken, zubereitet"	"D"	1	200
1335	1503	"Eieromeletten mit Speck, zubereitet"	"D"	1	200
1336	1500	"Eieromeletten, zubereitet"	"D"	1	200
1337	1038	"Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz)"	"D"	1	200
1338	1038	"Pfifferling"	"D"	0	200
1339	376	"Eierschwamm, roh"	"D"	1	200
1340	459	"Eisbergsalat, roh"	"D"	1	200
1341	804	"Eistee, gezuckert"	"D"	1	200
1342	555	"Emmentaler, vollfett"	"D"	1	200
1343	467	"Endivie, roh"	"D"	1	200
1344	467	"Frisée Salat"	"D"	0	200
1345	902	"Engadiner Nusstorte"	"D"	1	200
1346	1010	"Erbse, grün, gedämpft (ohne Zugabe von Salz)"	"D"	1	200
1347	369	"Erbse, grün, roh"	"D"	1	200
1348	630	"Erbse (Konserve)"	"D"	1	200
1349	1011	"Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz)"	"D"	1	200
1350	815	"Erbsen und Karotten (Konserve)"	"D"	1	200
1351	815	"Rüebli"	"D"	0	200
1352	1034	"Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz)"	"D"	1	200
1353	13389	"Erbse, reif, getrocknet"	"D"	1	200
1354	13389	"Erbse, geschält, getrocknet"	"D"	0	200
1355	13390	"Erbse, reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz)"	"D"	1	200
1356	385	"Erdbeere, roh"	"D"	1	200
1357	282	"Erdnuss"	"D"	1	200
1358	751	"Erdnussbutter"	"D"	1	200
1359	681	"Erdnuss-Flips"	"D"	1	200
