"ID"	"Link"	"Alias"	"Lang"	"Primary"	"FileVersion"
111	820	"Braided white bread made with butter"	"E"	1	200
112	13344	"Bratwurst, fried sausage, grilled (without addition of fat and salt)"	"E"	1	200
113	841	"Bratwurst, fried sausage, pork, raw"	"E"	1	200
114	279	"Brazil nut"	"E"	1	200
115	10446	"Bread (average)"	"E"	1	200
116	750	"Breadcrumbs"	"E"	1	200
117	827	"Bread for toasting, white, made with butter"	"E"	1	200
118	826	"Bread for toasting, white, made with vegetable oil"	"E"	1	200
119	843	"Bread roll from St. Gallen (semi white)"	"E"	1	200
120	842	"Bread roll (semi white)"	"E"	1	200
121	844	"Bread roll, white"	"E"	1	200
122	831	"Bread with walnuts"	"E"	1	200
123	705	"Bresaola (cured beef)"	"E"	1	200
124	613	"Brie, at least 45% fidm"	"E"	1	200
125	616	"Brie, at least 50% fidm"	"E"	1	200
126	351	"Broccoli, raw"	"E"	1	200
127	1005	"Broccoli, steamed (without addition of salt)"	"E"	1	200
128	829	"Brown bread"	"E"	1	200
129	864	"Brunsli (chocolate cookie)"	"E"	1	200
130	1021	"Brussel sprouts, steamed (without addition of salt)"	"E"	1	200
131	363	"Brussels sprouts, raw"	"E"	1	200
132	420	"Buckwheat flour"	"E"	1	200
133	421	"Buckwheat, grain peeled"	"E"	1	200
134	1583	"Burger patty (beef), pan fried in HOLL rapeseed oil"	"E"	1	200
135	191	"Butter, 40% fat"	"E"	1	200
136	901	"Butter cake"	"E"	1	200
137	60	"Butter, cheese dairy"	"E"	1	200
138	50	"Butter, clarified"	"E"	1	200
139	836	"Butter croissant, white"	"E"	1	200
140	834	"Butter croissant, wholemeal"	"E"	1	200
141	448	"Butterhead lettuce, raw"	"E"	1	200
142	529	"Buttermilk"	"E"	1	200
143	49	"Butter of choice"	"E"	1	200
144	781	"Cabbage sausage"	"E"	1	200
145	10582	"Cabbage vegetables (average), boiled (without addition of salt and fat)"	"E"	1	200
146	1167	"Cabbage vegetables (average), raw"	"E"	1	200
147	13417	"Cake dough, whole (with butter), raw"	"E"	1	200
148	13416	"Cake dough, whole (with vegetable fat), raw"	"E"	1	200
149	1176	"Cake dough (with butter), raw"	"E"	1	200
