ID	ID V 4.0	ID SwissFIR	Nom	Synonymes	Catégorie	Densité	Unité de matrice	Énergie, kilojoules	Dérivation de la valeur	Source	Énergie, calories	Dérivation de la valeur	Source	Lipides, totaux (g)	Dérivation de la valeur	Source	Acides gras, saturés (g)	Dérivation de la valeur	Source	Acides gras, mono-insaturés (g)	Dérivation de la valeur	Source	Acides gras, poly-insaturés (g)	Dérivation de la valeur	Source	Cholestérol (mg)	Dérivation de la valeur	Source	Glucides, disponibles (g)	Dérivation de la valeur	Source	Sucres (g)	Dérivation de la valeur	Source	Amidon (g)	Dérivation de la valeur	Source	Fibres alimentaires (g)	Dérivation de la valeur	Source	Proteines (g)	Dérivation de la valeur	Source	Sel (NaCl) (g)	Dérivation de la valeur	Source	Alcool (g)	Dérivation de la valeur	Source	Eau (g)	Dérivation de la valeur	Source	Activité de vitamine A, RE (µg-RE)	Dérivation de la valeur	Source	Activité de vitamine A, RAE (µg-RE)	Dérivation de la valeur	Source	Equivalents d’all-transrétinol (µg-RE)	Dérivation de la valeur	Source	Activité de bétacarotène (µg-BCE)	Dérivation de la valeur	Source	Bétacarotène (µg)	Dérivation de la valeur	Source	Vitamine B1 (thiamine) (mg)	Dérivation de la valeur	Source	Vitamine B2 (riboflavine) (mg)	Dérivation de la valeur	Source	Vitamine B6 (pyridoxine) (mg)	Dérivation de la valeur	Source	Vitamine B12 (cobalamine) (µg)	Dérivation de la valeur	Source	Niacine (mg)	Dérivation de la valeur	Source	Folate (µg)	Dérivation de la valeur	Source	Acide pantothénique (mg)	Dérivation de la valeur	Source	Vitamine C (acide ascorbique) (mg)	Dérivation de la valeur	Source	Vitamine D (calciférol) (µg)	Dérivation de la valeur	Source	Activité de vitamine E (mg-ATE)	Dérivation de la valeur	Source	Potassium (K) (mg)	Dérivation de la valeur	Source	Sodium (Na) (mg)	Dérivation de la valeur	Source	Clor (Cl) (mg)	Dérivation de la valeur	Source	Calcium (Ca) (mg)	Dérivation de la valeur	Source	Magnésium (Mg) (mg)	Dérivation de la valeur	Source	Phosphore (P) (mg)	Dérivation de la valeur	Source	Fer (Fe) (mg)	Dérivation de la valeur	Source	Iode (I) (µg)	Dérivation de la valeur	Source	Zinc (Zn)  (mg)	Dérivation de la valeur	Source	Sélénium (Se) (µg)	Dérivation de la valeur	Source	Entrée modifiée
4	4743	811056	Agneau, gigot, cru (Suisse, Nouvelle-Zélande)		Viande et abats/Agneau, mouton		par 100 g de portion comestible	647	Calcul automatisé		155	Calcul automatisé		8.2	-	146	4.4	-	146	3.7	-	146	0.9	-	146	65	-	146	0	Estimation	51	0	Estimation	51	n.i.			0	Estimation	51	20.2	-	146	0.2	Calcul automatisé		0	Estimation	51	69.1	-	146	9	Calcul automatisé		9	Calcul automatisé		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.46	-	146	3.61	-	160	n.i.			6	-	81	0.92	-	163	0	Estimation	51	6.1	-	143	0.4	-	163	330	-	146	61	-	146	76	-	8	4.7	-	146	20	-	146	190	-	146	1.6	-	146	0.8	-	88	3.6	-	146	4.7	-	1544	No
13304			Agneau, gigot, rôti (sans adjonction de graisse ni de sel)		Viande et abats/Agneau, mouton		par 100 g de portion comestible	965	Calcul automatisé		231	Calcul automatisé		12.2	Calcul sur la base des ingrédients		6.5	Calcul sur la base des ingrédients		5.6	Calcul sur la base des ingrédients		1.3	Calcul sur la base des ingrédients		97	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		n.i.			0	Calcul sur la base des ingrédients		30.1	Calcul sur la base des ingrédients		0.2	Calcul automatisé		0	Calcul sur la base des ingrédients		57.6	Calcul automatisé		14	Calcul automatisé		13	Calcul automatisé		13	Calcul sur la base des ingrédients		7	Calcul sur la base des ingrédients		6	Calcul sur la base des ingrédients		0.16	Calcul sur la base des ingrédients		0.07	Calcul sur la base des ingrédients		0.41	Calcul sur la base des ingrédients		3.77	Calcul sur la base des ingrédients		n.i.			7.2	Calcul sur la base des ingrédients		1.1	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		7.2	Calcul sur la base des ingrédients		0.48	Calcul sur la base des ingrédients		390	Calcul sur la base des ingrédients		77	Calcul sur la base des ingrédients		110	Calcul sur la base des ingrédients		6.3	Calcul sur la base des ingrédients		25	Calcul sur la base des ingrédients		240	Calcul sur la base des ingrédients		2.3	Calcul sur la base des ingrédients		1.2	Calcul sur la base des ingrédients		5.4	Calcul sur la base des ingrédients		7	Calcul sur la base des ingrédients		Oui
1110	4026		Agneau/mouton (moyenne sans abats ni côtelette), cru		Viande et abats/Agneau, mouton		par 100 g de portion comestible	564	Calcul automatisé		134	Calcul automatisé		5.8	Calcul sur la base des ingrédients		3	Calcul sur la base des ingrédients		2.7	Calcul sur la base des ingrédients		0.6	Calcul sur la base des ingrédients		67	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		20.5	Calcul sur la base des ingrédients		0.1	Calcul automatisé		0	Calcul sur la base des ingrédients		73.7	Calcul automatisé		7	Calcul automatisé		7	Calcul automatisé		6	Calcul sur la base des ingrédients		4	Calcul sur la base des ingrédients		4	Calcul sur la base des ingrédients		0.17	Calcul sur la base des ingrédients		0.1	Calcul sur la base des ingrédients		0.38	Calcul sur la base des ingrédients		3.26	Calcul sur la base des ingrédients		3.86	Calcul sur la base des ingrédients		10.5	Calcul sur la base des ingrédients		0.77	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		3.8	Calcul sur la base des ingrédients		0.4	Calcul sur la base des ingrédients		310	Calcul sur la base des ingrédients		58	Calcul sur la base des ingrédients		77	Calcul sur la base des ingrédients		6.3	Calcul sur la base des ingrédients		22	Calcul sur la base des ingrédients		190	Calcul sur la base des ingrédients		1.7	Calcul sur la base des ingrédients		0.7	Calcul sur la base des ingrédients		3.3	Calcul sur la base des ingrédients		n.i.			Oui
18	4754	812059	Agneau, rack, crue (Australie, Nouvelle-Zélande)		Viande et abats/Agneau, mouton		par 100 g de portion comestible	652	Calcul automatisé		156	Calcul automatisé		8.3	-	146	4.3	-	146	3.5	-	146	0.9	-	146	68	-	146	0	Estimation	51	0	Estimation	51	n.i.			0	Estimation	51	20.3	-	146	0.2	Calcul automatisé		0	Estimation	51	67.6	-	146	9	Calcul automatisé		9	Calcul automatisé		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.61	-	146	3.61	-	160	1.2	-	160	6	-	81	0.57	-	163	0	Estimation	51	2.9	-	143	0.5	-	163	300	-	146	63	-	146	79	-	8	7.5	-	146	24	-	146	180	-	146	1.8	-	146	0.9	-	88	2.2	-	146	n.i.			No
19	4752	812060	Agneau, ragoût, cru (Suisse)		Viande et abats/Agneau, mouton		par 100 g de portion comestible	644	Calcul automatisé		154	Calcul automatisé		8.4	-	146	4.3	-	146	3.7	-	146	1	-	146	66	-	146	0	Estimation	51	0	Estimation	51	n.i.			0	Estimation	51	19.6	-	146	0.2	Calcul automatisé		0	Estimation	51	69.9	-	146	0	Calcul automatisé		0	Calcul automatisé		0	-	104	0	Estimation	51	0	-	104	0.18	-	104	0.06	-	104	0.36	-	146	3.61	-	160	1.2	Estimation		6	-	81	0.57	-	163	0	Estimation	51	6.1	-	143	0.5	-	163	310	-	146	60	-	146	75	-	8	4.6	-	146	18	-	146	170	-	146	1.3	-	146	0.7	-	88	4.3	-	146	n.i.			No
1126	4077		Agrume (moyenne), crue		Fruits/Fruits frais		par 100 g de portion comestible	176	Calcul automatisé		42	Calcul automatisé		0.2	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		8.3	Calcul sur la base des ingrédients		8.3	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		1.6	Calcul sur la base des ingrédients		0.8	Calcul sur la base des ingrédients		0	Calcul automatisé		0	Calcul sur la base des ingrédients		89	Calcul automatisé		23	Calcul automatisé		11	Calcul automatisé		0	Calcul sur la base des ingrédients		138	Calcul sur la base des ingrédients		114	Calcul sur la base des ingrédients		0.09	Calcul sur la base des ingrédients		0.03	Calcul sur la base des ingrédients		0.05	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0.3	Calcul sur la base des ingrédients		15.6	Calcul sur la base des ingrédients		0.2	Calcul sur la base des ingrédients		44.6	Calcul sur la base des ingrédients		0	Calcul sur la base des ingrédients		0.42	Calcul sur la base des ingrédients		160	Calcul sur la base des ingrédients		3.3	Calcul sur la base des ingrédients		3.9	Calcul sur la base des ingrédients		34	Calcul sur la base des ingrédients		11	Calcul sur la base des ingrédients		15	Calcul sur la base des ingrédients		0.3	Calcul sur la base des ingrédients		0.9	Calcul sur la base des ingrédients		0.1	Calcul sur la base des ingrédients		n.i.			Oui
356	4364	1000819	Ail, cru		Légumes/Légumes frais		par 100 g de portion comestible	578	Calcul automatisé		137	Calcul automatisé		0.5	-	43	0.1	-	43	tr.	-	43	0.3	-	43	0	-	43	24.5	-	43	2.4	-	43	22.1	-	43	3	-	43	7	-	43	0	Calcul automatisé		0	-	43	63.7	-	43	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	51	0	Estimation	51	0	-	8	0.2	-	43	0.1	-	43	1.24	-	43	0	-	43	0.7	-	43	3	-	43	0.6	-	43	30	-	43	0	-	43	0	-	43	450	-	43	10	-	43	30	-	36	38	-	43	21	-	43	140	-	43	1.4	-	43	2.7	-	36	0.6	-	36	n.i.			No
987	3564	1001680	Airelle rouge, crue		Fruits/Fruits frais		par 100 g de portion comestible	168	Calcul automatisé		40	Calcul automatisé		0.5	-	9	0	-	9	0.1	-	9	0.3	-	9	0	-	9	7.1	-	9	7	-	9	0.1	-	9	2.9	-	9	0.3	-	9	0	Calcul automatisé		0	-	9	87.5	-	9	2	Calcul automatisé		1	Calcul automatisé		0	Estimation	51	9	Estimation	51	9	-	90	0.02	-	9	0.02	-	9	0.01	-	9	0	-	9	0.1	-	9	3	-	9	0.12	-	9	12	-	9	0	-	9	0.99	-	9	70	-	9	2	-	9	4	-	9	14	-	9	6	-	9	10	-	9	0.5	-	9	5	-	9	0.2	-	9	n.i.			No
273	4500	841005	Amande		Noix, graines et produits oléagineux		par 100 g de portion comestible	2450	Calcul automatisé		593	Calcul automatisé		49.9	-	1631	3.8	-	1631	31.6	-	1631	13.3	-	1631	1	-	43	4	-	81	3.9	-	156	4	-	81	13	-	141	25.5	Estimation	1662	0	Calcul automatisé		0	Estimation	51	11.7	-	81	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	51	0	Estimation	51	0	-	103	0.19	-	"81	1672"	0.44	-	81	0.15	-	81	0	-	43	2.1	-	81	48	-	81	0.46	-	"43	1672"	tr.	-	81	0	-	81	29.61	Calcul automatisé		760	-	"81	1542"	1.3	-	"43	1542"	40	-	8	270	-	"141	1542"	240	-	"141	1542"	510	-	"81	1542"	4.8	-	"141	1542"	2	-	43	6	-	141	n.i.			No
269	4497	832075	Amande, grillée, salée		Snacks salés/Noix et graines salées		par 100 g de portion comestible	2680	Calcul automatisé		649	Calcul automatisé		55.2	-	156	4.2	-	156	34.8	-	156	13.5	-	156	0	-	156	7.2	Estimation	51	4.6	-	156	0.6	-	156	10.5	-	156	25.6	Estimation	1698	0.8	Calcul automatisé		0	Estimation	51	2.8	-	156	0	Calcul automatisé		0	Calcul automatisé		0	Estimation	51	1	Estimation	51	1	-	156	0.09	-	156	0.78	-	156	0.12	-	156	0	-	156	3.67	-	156	27	-	156	0.23	-	156	0	-	156	0	-	8	25.97	-	156	670	-	"156	1542"	330	-	"156	1542"	1190	-	8	240	-	"156	1542"	270	-	"156	1542"	470	-	"156	1542"	3.3	-	"156	1542"	2.4	-	8	3.1	-	156	n.i.			No
