ID	ID V 4.0	ID SwissFIR	Nome	Sinonimi	Categoria	Densità	Unità di riferimento	Energia, kilojoules	Deduzione del valore	Fonte	Energia, calorie	Deduzione del valore	Fonte	Lipidi, totali (g)	Deduzione del valore	Fonte	Acidi grassi, saturi (g)	Deduzione del valore	Fonte	Acidi grassi, monoinsaturi (g)	Deduzione del valore	Fonte	Acidi grassi, polinsaturi (g)	Deduzione del valore	Fonte	Colesterolo (mg)	Deduzione del valore	Fonte	Glucidi, disponibili (g)	Deduzione del valore	Fonte	Zuccheri (g)	Deduzione del valore	Fonte	Amido (g)	Deduzione del valore	Fonte	Fibra alimentare (g)	Deduzione del valore	Fonte	Proteine (g)	Deduzione del valore	Fonte	Sale (NaCl) (g)	Deduzione del valore	Fonte	Alcool (g)	Deduzione del valore	Fonte	Acqua (g)	Deduzione del valore	Fonte	Attività di vitamina A, RE (µg-RE)	Deduzione del valore	Fonte	Attività di vitamina A, RAE (µg-RE)	Deduzione del valore	Fonte	Equivalenti di all-trans-retinolo (µg-RE)	Deduzione del valore	Fonte	Attività di beta-carotene (µg-BCE)	Deduzione del valore	Fonte	Beta-carotene (µg)	Deduzione del valore	Fonte	Vitamina B1 (tiamina) (mg)	Deduzione del valore	Fonte	Vitamina B2 (riboflavina) (mg)	Deduzione del valore	Fonte	Vitamina B6 (piridossina) (mg)	Deduzione del valore	Fonte	Vitamina B12 (cobalamina) (µg)	Deduzione del valore	Fonte	Niacina (mg)	Deduzione del valore	Fonte	Folati (µg)	Deduzione del valore	Fonte	Acido pantotenico (mg)	Deduzione del valore	Fonte	Vitamina C (acido ascorbico) (mg)	Deduzione del valore	Fonte	Vitamina D (calciferolo) (µg)	Deduzione del valore	Fonte	Attività di vitamina E (mg-ATE)	Deduzione del valore	Fonte	Potassio (K) (mg)	Deduzione del valore	Fonte	Sodio (Na) (mg)	Deduzione del valore	Fonte	Cloro (Cl) (mg)	Deduzione del valore	Fonte	Calcio (Ca) (mg)	Deduzione del valore	Fonte	Magnesio (Mg) (mg)	Deduzione del valore	Fonte	Fosforo (P) (mg)	Deduzione del valore	Fonte	Ferro (Fe) (mg)	Deduzione del valore	Fonte	Iodio (I) (µg)	Deduzione del valore	Fonte	Zinco (Zn)  (mg)	Deduzione del valore	Fonte	Selenio (Se) (µg)	Deduzione del valore	Fonte	Voce modificata
356	4364	1000819	Aglio, crudo		Verdure/Verdure fresche		per 100 g di parte edibile	578	Calcolo automatizzato		137	Calcolo automatizzato		0.5	-	43	0.1	-	43	tr.	-	43	0.3	-	43	0	-	43	24.5	-	43	2.4	-	43	22.1	-	43	3	-	43	7	-	43	0	Calcolo automatizzato		0	-	43	63.7	-	43	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	-	8	0.2	-	43	0.1	-	43	1.24	-	43	0	-	43	0.7	-	43	3	-	43	0.6	-	43	30	-	43	0	-	43	0	-	43	450	-	43	10	-	43	30	-	36	38	-	43	21	-	43	140	-	43	1.4	-	43	2.7	-	36	0.6	-	36	nd			No
18	4754	812059	Agnello, carré, crudo (Australia, Nuova Zelanda)		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	652	Calcolo automatizzato		156	Calcolo automatizzato		8.3	-	146	4.3	-	146	3.5	-	146	0.9	-	146	68	-	146	0	Stima	51	0	Stima	51	nd			0	Stima	51	20.3	-	146	0.2	Calcolo automatizzato		0	Stima	51	67.6	-	146	9	Calcolo automatizzato		9	Calcolo automatizzato		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.61	-	146	3.61	-	160	1.2	-	160	6	-	81	0.57	-	163	0	Stima	51	2.9	-	143	0.5	-	163	300	-	146	63	-	146	79	-	8	7.5	-	146	24	-	146	180	-	146	1.8	-	146	0.9	-	88	2.2	-	146	nd			No
13304			Agnello, cosciott, arrosto (senza aggiunta di grassi o sale)		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	965	Calcolo automatizzato		231	Calcolo automatizzato		12.2	Calcolo in base agli ingredienti		6.5	Calcolo in base agli ingredienti		5.6	Calcolo in base agli ingredienti		1.3	Calcolo in base agli ingredienti		97	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		nd			0	Calcolo in base agli ingredienti		30.1	Calcolo in base agli ingredienti		0.2	Calcolo automatizzato		0	Calcolo in base agli ingredienti		57.6	Calcolo automatizzato		14	Calcolo automatizzato		13	Calcolo automatizzato		13	Calcolo in base agli ingredienti		7	Calcolo in base agli ingredienti		6	Calcolo in base agli ingredienti		0.16	Calcolo in base agli ingredienti		0.07	Calcolo in base agli ingredienti		0.41	Calcolo in base agli ingredienti		3.77	Calcolo in base agli ingredienti		nd			7.2	Calcolo in base agli ingredienti		1.1	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		7.2	Calcolo in base agli ingredienti		0.48	Calcolo in base agli ingredienti		390	Calcolo in base agli ingredienti		77	Calcolo in base agli ingredienti		110	Calcolo in base agli ingredienti		6.3	Calcolo in base agli ingredienti		25	Calcolo in base agli ingredienti		240	Calcolo in base agli ingredienti		2.3	Calcolo in base agli ingredienti		1.2	Calcolo in base agli ingredienti		5.4	Calcolo in base agli ingredienti		7	Calcolo in base agli ingredienti		Si
4	4743	811056	Agnello, cosciotto (Svizzera, Nuova Zelanda), crudo 		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	647	Calcolo automatizzato		155	Calcolo automatizzato		8.2	-	146	4.4	-	146	3.7	-	146	0.9	-	146	65	-	146	0	Stima	51	0	Stima	51	nd			0	Stima	51	20.2	-	146	0.2	Calcolo automatizzato		0	Stima	51	69.1	-	146	9	Calcolo automatizzato		9	Calcolo automatizzato		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.46	-	146	3.61	-	160	nd			6	-	81	0.92	-	163	0	Stima	51	6.1	-	143	0.4	-	163	330	-	146	61	-	146	76	-	8	4.7	-	146	20	-	146	190	-	146	1.6	-	146	0.8	-	88	3.6	-	146	4.7	-	1544	No
5	4747	811057	Agnello, costoletta, cruda		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	747	Calcolo automatizzato		179	Calcolo automatizzato		10.9	-	146	5.2	-	146	4	-	146	0.9	-	146	72	-	146	0	Stima	51	0	Stima	51	nd			0	Stima	51	20.2	-	146	0.2	Calcolo automatizzato		0	Stima	51	65.4	-	146	9	Calcolo automatizzato		9	Calcolo automatizzato		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.32	-	160	3.61	-	160	nd			6	-	81	0.57	-	163	0	Stima	51	5.2	-	143	0.5	-	163	310	-	146	69	-	146	79	-	8	8.4	-	146	20	-	146	180	-	146	1.5	-	146	0.9	-	88	2.1	-	146	7	-	"1406	1544"	No
13273			Agnello, filetto, alla griglia cottura media (senza aggiunta di grassi o sale)		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	630	Calcolo automatizzato		150	Calcolo automatizzato		4.5	Calcolo in base agli ingredienti		1.8	Calcolo in base agli ingredienti		1.9	Calcolo in base agli ingredienti		0.2	Calcolo in base agli ingredienti		88	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		27.2	Calcolo in base agli ingredienti		0.2	Calcolo automatizzato		0	Calcolo in base agli ingredienti		68.3	Calcolo automatizzato		13	Calcolo automatizzato		12	Calcolo automatizzato		11	Calcolo in base agli ingredienti		7	Calcolo in base agli ingredienti		5	Calcolo in base agli ingredienti		0.1	Calcolo in base agli ingredienti		0.25	Calcolo in base agli ingredienti		0.14	Calcolo in base agli ingredienti		2.05	Calcolo in base agli ingredienti		6.08	Calcolo in base agli ingredienti		25.6	Calcolo in base agli ingredienti		0.7	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0.2	Calcolo in base agli ingredienti		290	Calcolo in base agli ingredienti		77	Calcolo in base agli ingredienti		110	Calcolo in base agli ingredienti		14	Calcolo in base agli ingredienti		31	Calcolo in base agli ingredienti		220	Calcolo in base agli ingredienti		2.4	Calcolo in base agli ingredienti		0.9	Calcolo in base agli ingredienti		4.3	Calcolo in base agli ingredienti		5.5	Calcolo in base agli ingredienti		Si
675	3901	1001237	Agnello, filetto, crudo		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	473	Calcolo automatizzato		112	Calcolo automatizzato		3.4	-	9	1.3	-	9	1.5	-	9	0.2	-	9	66	-	9	0	-	9	0	-	9	0	Stima	51	0	-	22	20.4	-	9	0.2	Calcolo automatizzato		0	-	22	75.1	-	9	9	Calcolo automatizzato		9	Calcolo automatizzato		9	-	163	<5	-	51	<5	-	163	0.13	-	9	0.23	-	9	0.17	-	9	2.2	-	9	6.51	-	9	24	-	9	0.66	-	9	0	-	9	tr.	-	22	0.19	-	9	280	-	9	68	-	9	79	-	9	12	-	9	27	-	9	190	-	9	1.9	-	9	0.7	-	9	3.2	-	9	4.1	-	1544	No
1110	4026		Agnello (in media, senza interiora e cotoletta), cruda 		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	564	Calcolo automatizzato		134	Calcolo automatizzato		5.8	Calcolo in base agli ingredienti		3	Calcolo in base agli ingredienti		2.7	Calcolo in base agli ingredienti		0.6	Calcolo in base agli ingredienti		67	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		20.5	Calcolo in base agli ingredienti		0.1	Calcolo automatizzato		0	Calcolo in base agli ingredienti		73.7	Calcolo automatizzato		7	Calcolo automatizzato		7	Calcolo automatizzato		6	Calcolo in base agli ingredienti		4	Calcolo in base agli ingredienti		4	Calcolo in base agli ingredienti		0.17	Calcolo in base agli ingredienti		0.1	Calcolo in base agli ingredienti		0.38	Calcolo in base agli ingredienti		3.26	Calcolo in base agli ingredienti		3.86	Calcolo in base agli ingredienti		10.5	Calcolo in base agli ingredienti		0.77	Calcolo in base agli ingredienti		0	Calcolo in base agli ingredienti		3.8	Calcolo in base agli ingredienti		0.4	Calcolo in base agli ingredienti		310	Calcolo in base agli ingredienti		58	Calcolo in base agli ingredienti		77	Calcolo in base agli ingredienti		6.3	Calcolo in base agli ingredienti		22	Calcolo in base agli ingredienti		190	Calcolo in base agli ingredienti		1.7	Calcolo in base agli ingredienti		0.7	Calcolo in base agli ingredienti		3.3	Calcolo in base agli ingredienti		nd			Si
17	4753	812058	Agnello, lombata, cruda (Australia, Nuova Zelanda)		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	493	Calcolo automatizzato		117	Calcolo automatizzato		3.3	-	146	1.9	-	146	1.9	-	146	0.4	-	146	72	-	146	0	Stima	51	0	Stima	51	nd			0	Stima	51	21.8	-	146	0.1	Calcolo automatizzato		0	Stima	51	73	-	146	9	Calcolo automatizzato		9	Calcolo automatizzato		9	-	163	<5	-	51	<5	-	163	0.18	-	104	0.06	-	104	0.51	-	146	3.61	-	160	nd			6	-	81	0.92	-	163	0	Stima	51	2.9	-	143	0.5	-	163	330	-	1406	44	-	146	79	-	8	3.8	-	146	23	-	146	200	-	146	1.9	-	146	0.8	-	88	2.3	-	146	8.7	-	"1406	1544"	No
19	4752	812060	Agnello, spezzatino, crudo (Svizzera)		Carne e frattaglie/Agnello, pecora		per 100 g di parte edibile	644	Calcolo automatizzato		154	Calcolo automatizzato		8.4	-	146	4.3	-	146	3.7	-	146	1	-	146	66	-	146	0	Stima	51	0	Stima	51	nd			0	Stima	51	19.6	-	146	0.2	Calcolo automatizzato		0	Stima	51	69.9	-	146	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	104	0	Stima	51	0	-	104	0.18	-	104	0.06	-	104	0.36	-	146	3.61	-	160	1.2	Stima		6	-	81	0.57	-	163	0	Stima	51	6.1	-	143	0.5	-	163	310	-	146	60	-	146	75	-	8	4.6	-	146	18	-	146	170	-	146	1.3	-	146	0.7	-	88	4.3	-	146	nd			No
