ID	ID V 4.0	ID SwissFIR	Name	Synonyms	Category	Density	Matrix unit	Energy, kilojoules (kJ)	Derivation of value	Source	Energy, kilocalories (kcal)	Derivation of value	Source	Fat, total (g)	Derivation of value	Source	Fatty acids, saturated (g)	Derivation of value	Source	Fatty acids, monounsaturated (g)	Derivation of value	Source	Fatty acids, polyunsaturated (g)	Derivation of value	Source	Cholesterol (mg)	Derivation of value	Source	Carbohydrates, available (g)	Derivation of value	Source	Sugars (g)	Derivation of value	Source	Starch (g)	Derivation of value	Source	Dietary fibres (g)	Derivation of value	Source	Protein (g)	Derivation of value	Source	Salt (NaCl) (g)	Derivation of value	Source	Alcohol (g)	Derivation of value	Source	Wasser (g)	Derivation of value	Source	Vitamin A activity, RE (µg-RE)	Derivation of value	Source	Vitamin A activity, RAE (µg-RE)	Derivation of value	Source	All-trans retinol equivalents (µg-RE)	Derivation of value	Source	Beta- carotene activity (µg-BCE)	Derivation of value	Source	Beta-carotene (µg)	Derivation of value	Source	Vitamin B1 (thiamine) (mg)	Derivation of value	Source	Vitamin B2 (riboflavin) (mg)	Derivation of value	Source	Vitamin B6 (pyridoxine) (mg)	Derivation of value	Source	Vitamin B12 (cobalamin) (µg)	Derivation of value	Source	Niacin (mg)	Derivation of value	Source	Folate (µg)	Derivation of value	Source	Panthotenic acid (mg)	Derivation of value	Source	Vitamin C (ascorbic acid) (mg)	Derivation of value	Source	Vitamin D (calciferol) (µg)	Derivation of value	Source	Vitamin E activity (mg-ATE)	Derivation of value	Source	Potassium (K) (mg)	Derivation of value	Source	Sodium (Na) (mg)	Derivation of value	Source	Chloride (Cl) (mg)	Derivation of value	Source	Calcium (Ca) (mg)	Derivation of value	Source	Magnesium (Mg) (mg)	Derivation of value	Source	Phosphorus (P) (mg)	Derivation of value	Source	Iron (Fe) (mg)	Derivation of value	Source	Iodide (I) (µg)	Derivation of value	Source	Zinc (Zn) (mg)	Derivation of value	Source	Selenium (Se) (µg)	Derivation of value	Source	Record has changed
1258			Glenlivet 12 years old Malt Scotch Whisky (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	919	Automated calculation		222	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.7	Estimation	1066	68.3	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1259			Grappa Fior di Vite Ramazzotti (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	916	Automated calculation		221	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.6	Estimation	1064	68.4	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13425			Greek yogurt, with cream, plain (Average of branded products)		Milk and dairy products/Yogurt and curdled milk		per 100g edible portion	484	Automated calculation		117	Automated calculation		9.4	-	1682	6	-	1682	n.d.			n.d.			n.d.			3.9	-	1682	3.9	-	1682	n.d.			0	-	1682	4.2	-	1682	0.1	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1260			Havana Club Anejo Reserva (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	919	Automated calculation		222	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.7	Estimation	1067	68.3	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1150	4085		Heineken Lager (5 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	165	Automated calculation		40	Automated calculation		<0.1	-	1045	<0.1	-	1045	n.d.			n.d.			0	Estimation	1003	2.2	-	1045	0	-	1045	n.d.			0.2	-	1045	0.4	-	1045	n.d.			4	Estimation	1047	93.2	Estimation	1003	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1	-	1045	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1151	3563		Ittinger (5.6 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	197	Automated calculation		47	Automated calculation		<0.1	-	1045	<0.1	-	1045	n.d.			n.d.			0	Estimation	1003	3.2	-	1045	0	-	1045	n.d.			0.2	-	1045	0.6	-	1045	n.d.			4.4	Estimation	1047	91.6	Estimation	1003	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1	-	1045	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1261			Jameson Irish Whiskey (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	916	Automated calculation		221	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.6	Estimation	1068	68.4	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1262			Malibu Coconut (21 vol%)		Alcoholic beverages/Other alcoholic beverages	1.052	per 100ml food volume	826	Automated calculation		197	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	20.3	Estimation	1129	20.3	Estimation	1069	n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			16.6	Estimation	1069	63.2	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13434			Malt drink with cocoa, with vitamin and mineral fortified, powder (Average of branded products)		Non-alcoholic beverages/Beverages based on malt extract		per 100g edible portion	1620	Automated calculation		382	Automated calculation		3.6	-	1682	2.4	-	1682	n.d.			n.d.			n.d.			76.2	-	1682	52.1	-	1682	n.d.			4.5	-	1682	8.9	-	1682	0.5	-	1682	n.d.			n.d.			637	Automated calculation		637	Automated calculation		637	-	1682	n.d.			n.d.			0.88	-	1682	1.11	-	1682	1.11	-	1682	1.99	-	1682	12.74	-	1682	238	-	1682	4.78	-	1682	59.6	-	1682	4	-	1682	9.55	-	1682	n.d.			n.d.			n.d.			530	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
538	4276	1001058	Mineral water, Adelbodner		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	Estimation	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	99.8	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.7	-	1680	0.7	-	1680	58	-	1680	3.9	-	1680	n.d.			n.d.			5	-	1680	n.d.			n.d.			Nein
1171	4623		Mineral water, Adello		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	99.8	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0.2	-	1680	0.6	-	1680	0.7	-	1680	53	-	1680	3.7	-	1680	n.d.			n.d.			2.5	-	1680	n.d.			n.d.			Nein
540	4634	1001060	Mineral water, Allegra (Malix)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	100	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.3	-	1680	0.3	-	1680	10	-	1680	2.4	-	1680	n.d.			n.d.			1	-	1680	n.d.			n.d.			Nein
1096	3929		Mineral water, Appenzell (Gontenbad)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	100	Estimation	1662	n.d.			n.d.			0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			0.1	-	1680	0.3	-	1680	0.6	-	1680	11	-	1680	1.7	-	1680	n.d.			n.d.			<1	-	1680	n.d.			n.d.			Nein
73	3968	821054	Mineral water, Aproz (Aproz)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	n.d.			0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	n.d.			0	Estimation	1662	99.8	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1662	0	Estimation	1662	n.d.			0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0.3	-	1680	0.6	-	1680	2	-	1680	36	-	1680	7	-	1680	n.d.			n.d.			<0.5	-	1680	n.d.			n.d.			Nein
104	4024	822055	Mineral water, Aquella (Bouillets)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	n.d.			0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	n.d.			0	Estimation	1662	99.9	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1662	0	Estimation	1662	n.d.			0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0	Estimation	1662	0.3	-	1680	0.4	-	1680	1.6	-	1680	30	-	1680	7.5	-	1680	n.d.			n.d.			<0.5	-	1680	n.d.			n.d.			Nein
541	4001	1001061	Mineral water, Arkina		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	100	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.9	-	1680	0.2	-	1680	8.5	-	1680	2.6	-	1680	tr.	-	22	n.d.			<1	-	1680	n.d.			n.d.			Nein
1178	4663		Mineral water Badoit (St Galmier)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	99.9	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	1.1	-	1680	18	-	1680	5.4	-	1680	15	-	1680	8	-	1680	n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1172	4622		Mineral water, Cristallo (Lostorf)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	99.9	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0.3	-	1013	0.4	-	1013	0.3	-	1013	22	-	1013	6.5	-	1013	n.d.			n.d.			<10	-	1680	n.d.			n.d.			Nein
1046	3558		Mineral water, Cristalp (Saxon)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	99.9	Estimation	1662	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			0.2	-	1680	2.2	-	1680	1.6	-	1680	12	-	1680	4.1	-	1680	n.d.			n.d.			<5	-	1680	n.d.			n.d.			Nein
1044	4237		Mineral water, Elmer		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	100	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0.1	-	1680	0.3	-	1680	0	-	1680	12	-	1680	0.7	-	1680	n.d.			n.d.			<1	-	1680	n.d.			n.d.			Nein
48	4659	821020	Mineral water, Eptinger		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	n.d.			0	Estimation	51	99.8	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0.3	-	1013	0.4	-	1013	0.3	-	1013	51	-	1680	12	-	1013	n.d.			n.d.			<1	-	1680	n.d.			n.d.			Nein
521	4635	1001029	Mineral water, Evian (Cachat)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	100	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1013	0.7	-	1013	1	-	1680	8	-	1013	2.6	-	1013	n.d.			n.d.			<0.1	-	1680	n.d.			n.d.			Nein
522	4003	1001030	Mineral water, Henniez		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	99.9	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.7	-	1680	0.8	-	1680	10	-	1680	2	-	1680	n.d.			n.d.			<1	-	1680	n.d.			n.d.			Nein
1173	4624		Mineral water, Knutwiler		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	100	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0.1	-	1680	0.5	-	1680	0.6	-	1680	8.9	-	1680	2.4	-	1680	n.d.			n.d.			<1	-	1680	n.d.			n.d.			Nein
523	4636	1001032	Mineral water, Passugger (Theophilquelle)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	99.9	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.3	-	1680	4.1	-	1680	1.6	-	1680	21	-	1680	2.2	-	1680	n.d.			n.d.			<10	-	1680	n.d.			n.d.			Nein
537	4044	1001057	Mineral water, Rhäzünser		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	99.8	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.7	-	1680	15	-	1680	2.1	-	1680	23	-	1680	4.9	-	1680	n.d.			n.d.			<1	-	1680	n.d.			n.d.			Nein
525	4004	1001035	Mineral water, San Pellegrino		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	99.9	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.2	-	1680	3.1	-	1680	4.9	-	1680	16	-	1680	5	-	1680	n.d.			n.d.			1.3	-	1680	n.d.			n.d.			Nein
1095	3612		Mineral water, Valais (Montis)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	-	1025	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	100	Estimation	1662	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			0.3	-	1680	0.7	-	1680	1.2	-	1680	9	-	1680	2.2	-	1680	n.d.			n.d.			<2	-	1680	n.d.			<0.1	-	1025	Nein
45	3581	821008	Mineral water, Valser Classic/Naturelle (St. Petersquelle)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	n.d.			0	Estimation	51	99.8	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0	Estimation	51	0.1	-	"1017;1680"	0.9	-	1680	0.2	-	1680	44	-	1680	5.5	-	1680	n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1047	3763		Mineral water, Valser Silence (St. Paulsquelle)		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	100	Estimation	1662	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			0	-	1680	0	-	1680	<0.1	-	1680	5.4	-	1680	0.2	-	1680	n.d.			n.d.			0	-	1333	n.d.			n.d.			Nein
1179	4664		Mineral water Vichy-Célestins		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	n.d.			0	Estimation	1003	99.7	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	0	Estimation	1003	6.6	-	1013	120	-	1013	24	-	1013	10	-	1013	1	-	1013	n.d.			n.d.			n.d.			n.d.			n.d.			Nein
550	3939	1001070	Mineral water, Volvic		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	100	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.6	-	1680	1.2	-	1680	1.5	-	1680	1.2	-	1680	0.8	-	1013	tr.	-	22	n.d.			0.1	-	1013	n.d.			n.d.			Nein
548	3940	1001067	Mineral water, Zurzacher		Non-alcoholic beverages/Mineral water	1	per 100ml food volume	0	Automated calculation		0	Automated calculation		0	-	22	0	-	22	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	0	Estimation	51	0	-	22	0	-	22	n.d.			0	Estimation	51	99.9	Estimation	1662	0	Automated calculation		0	Automated calculation		0	Estimation	51	0	Estimation	51	0	Estimation	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.8	-	1680	29	-	1680	13	-	1680	1.6	-	1680	0	-	1680	n.d.			n.d.			3	-	1680	n.d.			n.d.			Nein
11525			Naturaplan Bio Beer unfiltered without alcohol <0.5 vol% (Coop)		Alcoholic beverages/Beer	1	per 100ml food volume	94	Automated calculation		22	Automated calculation		0	-	1523	n.d.			n.d.			n.d.			n.d.			5	-	1523	n.d.			n.d.			n.d.			0.5	-	1523	n.d.			n.d.			94.5	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13426			Oat drink, plain (Average of branded products)		Milk and dairy products/Milk substitutes	1	per 100ml food volume	181	Automated calculation		43	Automated calculation		1.4	-	1682	0.1	-	1682	n.d.			n.d.			n.d.			6.6	-	1682	4.6	-	1682	n.d.			0.8	-	1682	0.7	-	1682	0.1	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
13430			Oat Drink, plain, with calcium fortified (Average of branded foods)		Milk and dairy products/Milk substitutes	1	per 100ml food volume	189	Automated calculation		45	Automated calculation		1.7	-	1682	0.2	-	1682	n.d.			n.d.			n.d.			6.5	-	1682	5.1	-	1682	n.d.			0.5	-	1682	0.7	-	1682	0.1	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			120	-	1682	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1263			Pastis 51 de Marseille (45 vol%)		Alcoholic beverages/Other alcoholic beverages	0.947	per 100ml food volume	1060	Automated calculation		257	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	2	Estimation	1129	2	-	1070	n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			35.5	-	1070	62.5	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
