ID	ID V 4.0	ID SwissFIR	Name	Synonyms	Category	Density	Matrix unit	Energy, kilojoules (kJ)	Derivation of value	Source	Energy, kilocalories (kcal)	Derivation of value	Source	Fat, total (g)	Derivation of value	Source	Fatty acids, saturated (g)	Derivation of value	Source	Fatty acids, monounsaturated (g)	Derivation of value	Source	Fatty acids, polyunsaturated (g)	Derivation of value	Source	Cholesterol (mg)	Derivation of value	Source	Carbohydrates, available (g)	Derivation of value	Source	Sugars (g)	Derivation of value	Source	Starch (g)	Derivation of value	Source	Dietary fibres (g)	Derivation of value	Source	Protein (g)	Derivation of value	Source	Salt (NaCl) (g)	Derivation of value	Source	Alcohol (g)	Derivation of value	Source	Wasser (g)	Derivation of value	Source	Vitamin A activity, RE (µg-RE)	Derivation of value	Source	Vitamin A activity, RAE (µg-RE)	Derivation of value	Source	All-trans retinol equivalents (µg-RE)	Derivation of value	Source	Beta- carotene activity (µg-BCE)	Derivation of value	Source	Beta-carotene (µg)	Derivation of value	Source	Vitamin B1 (thiamine) (mg)	Derivation of value	Source	Vitamin B2 (riboflavin) (mg)	Derivation of value	Source	Vitamin B6 (pyridoxine) (mg)	Derivation of value	Source	Vitamin B12 (cobalamin) (µg)	Derivation of value	Source	Niacin (mg)	Derivation of value	Source	Folate (µg)	Derivation of value	Source	Panthotenic acid (mg)	Derivation of value	Source	Vitamin C (ascorbic acid) (mg)	Derivation of value	Source	Vitamin D (calciferol) (µg)	Derivation of value	Source	Vitamin E activity (mg-ATE)	Derivation of value	Source	Potassium (K) (mg)	Derivation of value	Source	Sodium (Na) (mg)	Derivation of value	Source	Chloride (Cl) (mg)	Derivation of value	Source	Calcium (Ca) (mg)	Derivation of value	Source	Magnesium (Mg) (mg)	Derivation of value	Source	Phosphorus (P) (mg)	Derivation of value	Source	Iron (Fe) (mg)	Derivation of value	Source	Iodide (I) (µg)	Derivation of value	Source	Zinc (Zn) (mg)	Derivation of value	Source	Selenium (Se) (µg)	Derivation of value	Source	Record has changed
1146	3687		Calanda Lemon (2.4 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	154	Automated calculation		37	Automated calculation		<0.1	-	1046	<0.1	-	1046	n.d.			n.d.			0	Estimation	1003	5.3	-	1046	3.8	-	1046	n.d.			0.1	-	1046	0.3	-	1046	n.d.			1.9	Estimation	1048	92.5	Estimation	1003	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1	-	1046	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1138	3689		Cardinal Lager (4.8 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	153	Automated calculation		37	Automated calculation		0	-	1055	0	-	1055	n.d.			n.d.			0	Estimation	1003	2	-	1055	<0.5	-	1055	n.d.			0	Estimation	1003	<0.5	-	1055	n.d.			3.8	Estimation	1055	93.7	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1055	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1155	3562		Cardinal sans alcool (<0.5 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	80	Automated calculation		19	Automated calculation		0	-	1056	0	-	1056	n.d.			n.d.			0	Estimation	1003	3.5	-	1056	1	-	1056	n.d.			0	Estimation	1003	<0.5	-	1056	n.d.			<0.4	-	1056	95.6	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1056	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1139	3688		Carlsberg (5 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	167	Automated calculation		40	Automated calculation		0	-	1057	0	-	1057	n.d.			n.d.			0	Estimation	1003	2.5	-	1057	<0.5	-	1057	n.d.			0	Estimation	1003	<0.5	-	1057	n.d.			4	Estimation	1057	93	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1057	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1156	3587		Carlsberg Alkoholfrei (<0.5 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	80	Automated calculation		19	Automated calculation		0	-	1058	0	-	1058	n.d.			n.d.			0	Estimation	1003	3.5	-	1058	1	-	1058	n.d.			0	Estimation	1003	<0.5	-	1058	n.d.			<0.4	-	1058	95.6	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			<5	-	1058	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1256			Chivas Regal 12 years old blended Scotch Whisky (40 vol%)		Alcoholic beverages/Spirits	0.9	per 100ml food volume	917	Automated calculation		221	Automated calculation		0	Estimation	1129	n.d.			n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			n.d.			0	Estimation	1129	0	Estimation	1129	n.d.			31.6	Estimation	1063	68.4	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1153	4084		Clausthaler Classic (0.45 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	112	Automated calculation		27	Automated calculation		0	-	1077	0	-	1077	n.d.			n.d.			n.d.			5.6	-	1077	2.8	-	1077	n.d.			0.4	-	1077	0.2	-	1077	n.d.			0.4	Estimation	1077	93.4	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			2	-	1077	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1154	4108		Clausthaler Extra Herb (0.45 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	89	Automated calculation		21	Automated calculation		0	-	1077	0	-	1077	n.d.			n.d.			n.d.			4.3	-	1077	2.2	-	1077	n.d.			0.3	-	1077	0.2	-	1077	n.d.			0.4	Estimation	1077	94.8	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			2	-	1077	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1157	3692		Eichhof Alkoholfrei (0.4 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	79	Automated calculation		19	Automated calculation		<0.1	-	1046	<0.1	-	1046	n.d.			n.d.			0	Estimation	1003	3.5	-	1046	1.2	-	1046	n.d.			0.1	-	1046	0.4	-	1046	n.d.			0.3	Estimation	1048	95.6	Automated calculation		n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			1	-	1046	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
1147	4088		Eichhof Hubertus (6 vol%)		Alcoholic beverages/Beer	1	per 100ml food volume	189	Automated calculation		45	Automated calculation		<0.1	-	1045	<0.1	-	1045	n.d.			n.d.			0	Estimation	1003	2.3	-	1045	0.1	-	1045	n.d.			0.2	-	1045	0.5	-	1045	n.d.			4.7	Estimation	1047	92.3	Estimation	1003	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			2	-	1045	n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			n.d.			Nein
