Banca dati svizzera dei valori nutritivi – Prodotti  a marchio V6.1 (28.03.2019)																																																																																																																																
																																																																																																																																
ID	ID V 4.0	ID SwissFIR	Nome	Sinonimi	Categoria	Densità	Unità di riferimento	Energia, kilojoules	Deduzione del valore	Fonte	Energia, calorie	Deduzione del valore	Fonte	Lipidi, totali (g)	Deduzione del valore	Fonte	Acidi grassi, saturi (g)	Deduzione del valore	Fonte	Acidi grassi, monoinsaturi (g)	Deduzione del valore	Fonte	Acidi grassi, polinsaturi (g)	Deduzione del valore	Fonte	Colesterolo (mg)	Deduzione del valore	Fonte	Glucidi, disponibili (g)	Deduzione del valore	Fonte	Zuccheri (g)	Deduzione del valore	Fonte	Amido (g)	Deduzione del valore	Fonte	Fibra alimentare (g)	Deduzione del valore	Fonte	Proteine (g)	Deduzione del valore	Fonte	Sale (NaCl) (g)	Deduzione del valore	Fonte	Alcool (g)	Deduzione del valore	Fonte	Acqua (g)	Deduzione del valore	Fonte	Attività di vitamina A, RE (µg-RE)	Deduzione del valore	Fonte	Attività di vitamina A, RAE (µg-RE)	Deduzione del valore	Fonte	Equivalenti di all-trans-retinolo (µg-RE)	Deduzione del valore	Fonte	Attività di beta-carotene (µg-BCE)	Deduzione del valore	Fonte	Beta-carotene (µg)	Deduzione del valore	Fonte	Vitamina B1 (tiamina) (mg)	Deduzione del valore	Fonte	Vitamina B2 (riboflavina) (mg)	Deduzione del valore	Fonte	Vitamina B6 (piridossina) (mg)	Deduzione del valore	Fonte	Vitamina B12 (cobalamina) (µg)	Deduzione del valore	Fonte	Niacina (mg)	Deduzione del valore	Fonte	Folati (µg)	Deduzione del valore	Fonte	Acido pantotenico (mg)	Deduzione del valore	Fonte	Vitamina C (acido ascorbico) (mg)	Deduzione del valore	Fonte	Vitamina D (calciferolo) (µg)	Deduzione del valore	Fonte	Attività di vitamina E (mg-ATE)	Deduzione del valore	Fonte	Potassio (K) (mg)	Deduzione del valore	Fonte	Sodio (Na) (mg)	Deduzione del valore	Fonte	Cloro (Cl) (mg)	Deduzione del valore	Fonte	Calcio (Ca) (mg)	Deduzione del valore	Fonte	Magnesio (Mg) (mg)	Deduzione del valore	Fonte	Fosforo (P) (mg)	Deduzione del valore	Fonte	Ferro (Fe) (mg)	Deduzione del valore	Fonte	Iodio (I) (µg)	Deduzione del valore	Fonte	Zinco (Zn)  (mg)	Deduzione del valore	Fonte	Selenio (Se) (µg)	Deduzione del valore	Fonte	Voce modificata
1172	4622		Acqua minerale Cristallo (Lostorf)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	99.9	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0.3	-	1013	0.4	-	1013	0.3	-	1013	22	-	1013	6.5	-	1013	nd			nd			<10	-	1680	nd			nd			No
1046	3558		Acqua minerale Cristalp (Saxon)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	99.9	Stima	1662	nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			nd			0.2	-	1680	2.2	-	1680	1.6	-	1680	12	-	1680	4.1	-	1680	nd			nd			<5	-	1680	nd			nd			No
1044	4237		Acqua minerale Elmer		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	100	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0.1	-	1680	0.3	-	1680	0	-	1680	12	-	1680	0.7	-	1680	nd			nd			<1	-	1680	nd			nd			No
48	4659	821020	Acqua minerale Eptinger		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	nd			0	Stima	51	99.8	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0	Stima	51	0.3	-	1013	0.4	-	1013	0.3	-	1013	51	-	1680	12	-	1013	nd			nd			<1	-	1680	nd			nd			No
521	4635	1001029	Acqua minerale Evian (Cachat)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	100	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1013	0.7	-	1013	1	-	1680	8	-	1013	2.6	-	1013	nd			nd			<0.1	-	1680	nd			nd			No
522	4003	1001030	Acqua minerale Henniez		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	99.9	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.7	-	1680	0.8	-	1680	10	-	1680	2	-	1680	nd			nd			<1	-	1680	nd			nd			No
1173	4624		Acqua minerale Knutwiler		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	nd			0	Stima	1003	100	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0	Stima	1003	0.1	-	1680	0.5	-	1680	0.6	-	1680	8.9	-	1680	2.4	-	1680	nd			nd			<1	-	1680	nd			nd			No
523	4636	1001032	Acqua minerale Passugger (Theophilquelle)		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	99.9	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.3	-	1680	4.1	-	1680	1.6	-	1680	21	-	1680	2.2	-	1680	nd			nd			<10	-	1680	nd			nd			No
537	4044	1001057	Acqua minerale Rhäzünser		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	99.8	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.7	-	1680	15	-	1680	2.1	-	1680	23	-	1680	4.9	-	1680	nd			nd			<1	-	1680	nd			nd			No
525	4004	1001035	Acqua minerale San Pellegrino		Bevande analcoliche/Acqua minerale	1	per 100 ml	0	Calcolo automatizzato		0	Calcolo automatizzato		0	-	22	0	-	22	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	0	Stima	51	0	-	22	0	-	22	nd			0	Stima	51	99.9	Stima	1662	0	Calcolo automatizzato		0	Calcolo automatizzato		0	Stima	51	0	Stima	51	0	Stima	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.2	-	1680	3.1	-	1680	4.9	-	1680	16	-	1680	5	-	1680	nd			nd			1.3	-	1680	nd			nd			No
