ID	ID V 4.0	ID SwissFIR	Name	Synonyme	Kategorie	Spezifisches	Gewicht Matrixeinheit	Energie, Kilojoule	Herleitung des Wertes	Quelle	Energie, Kalorien	Herleitung des Wertes	Quelle	Fett, total (g)	Herleitung des Wertes	Quelle	Fettsäuren, gesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, einfach ungesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, mehrfach ungesättigt (g)	Herleitung des Wertes	Quelle	Cholesterin (mg)	Herleitung des Wertes	Quelle	Kohlenhydrate, verfügbar (g)	Herleitung des Wertes	Quelle	Zucker (g)	Herleitung des Wertes	Quelle	Stärke (g)	Herleitung des Wertes	Quelle	Nahrungsfasern (g)	Herleitung des Wertes	Quelle	Protein (g)	Herleitung des Wertes	Quelle	Salz (NaCl) (g)	Herleitung des Wertes	Quelle	Alkohol (g)	Herleitung des Wertes	Quelle	Wasser (g)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RE (µg-RE)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RAE (µg-RE)	Herleitung des Wertes	Quelle	All-trans Retinol-Äquivalente (µg-RE)	Herleitung des Wertes	Quelle	Betacarotin-Aktivität (µg-BCE)	Herleitung des Wertes	Quelle	Betacarotin (µg)	Herleitung des Wertes	Quelle	Vitamin B1 (Thiamin) (mg)	Herleitung des Wertes	Quelle	Vitamin B2 (Riboflavin) (mg)	Herleitung des Wertes	Quelle	Vitamin B6 (Pyridoxin) (mg)	Herleitung des Wertes	Quelle	Vitamin B12 (Cobalamin) (µg)	Herleitung des Wertes	Quelle	Niacin (mg)	Herleitung des Wertes	Quelle	Folat (µg)	Herleitung des Wertes	Quelle	Pantothensäure (mg)	Herleitung des Wertes	Quelle	Vitamin C (Ascorbinsäure) (mg)	Herleitung des Wertes	Quelle	Vitamin D (Calciferol) (µg)	Herleitung des Wertes	Quelle	Vitamin E-Aktivität (mg-ATE)	Herleitung des Wertes	Quelle	Kalium (K) (mg)	Herleitung des Wertes	Quelle	Natrium (Na) (mg)	Herleitung des Wertes	Quelle	Chlorid (Cl) (mg)	Herleitung des Wertes	Quelle	Calcium (Ca) (mg)	Herleitung des Wertes	Quelle	Magnesium (Mg) (mg)	Herleitung des Wertes	Quelle	Phosphor (P) (mg)	Herleitung des Wertes	Quelle	Eisen (Fe) (mg)	Herleitung des Wertes	Quelle	Jod (I) (µg)	Herleitung des Wertes	Quelle	Zink (Zn)  (mg)	Herleitung des Wertes	Quelle	Selen (Se) (µg)	Herleitung des Wertes	Quelle	Geänderter Eintrag
1259			Grappa Fior di Vite Ramazzotti (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	916	Automatisierte Berechnung		221	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.6	Schätzung	1064	68.4	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
13430			Hafer Drink, nature, Calcium angereichert (Durchschnitt von Markenprodukten)		Milch und Milchprodukte/Milchersatzprodukte	1	pro 100 ml	189	Automatisierte Berechnung		45	Automatisierte Berechnung		1.7	-	1682	0.2	-	1682	k.A.			k.A.			k.A.			6.5	-	1682	5.1	-	1682	k.A.			0.5	-	1682	0.7	-	1682	0.1	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			120	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
13426			Hafer Drink, nature (Durchschnitt von Markenprodukten)		Milch und Milchprodukte/Milchersatzprodukte	1	pro 100 ml	181	Automatisierte Berechnung		43	Automatisierte Berechnung		1.4	-	1682	0.1	-	1682	k.A.			k.A.			k.A.			6.6	-	1682	4.6	-	1682	k.A.			0.8	-	1682	0.7	-	1682	0.1	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1260			Havana Club Anejo Reserva (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	919	Automatisierte Berechnung		222	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.7	Schätzung	1067	68.3	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1150	4085		Heineken Lager (5 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	165	Automatisierte Berechnung		40	Automatisierte Berechnung		<0.1	-	1045	<0.1	-	1045	k.A.			k.A.			0	Schätzung	1003	2.2	-	1045	0	-	1045	k.A.			0.2	-	1045	0.4	-	1045	k.A.			4	Schätzung	1047	93.2	Schätzung	1003	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1	-	1045	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1151	3563		Ittinger (Spezialbier Amber, 5.6 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	197	Automatisierte Berechnung		47	Automatisierte Berechnung		<0.1	-	1045	<0.1	-	1045	k.A.			k.A.			0	Schätzung	1003	3.2	-	1045	0	-	1045	k.A.			0.2	-	1045	0.6	-	1045	k.A.			4.4	Schätzung	1047	91.6	Schätzung	1003	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1	-	1045	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1261			Jameson Irish Whiskey (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	916	Automatisierte Berechnung		221	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.6	Schätzung	1068	68.4	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
13425			Joghurt, nach griechischer Art, mit Rahm, nature (Durchschnitt von Markenprodukten)		Milch und Milchprodukte/Joghurt und Sauermilch		pro 100g essbarer Anteil	484	Automatisierte Berechnung		117	Automatisierte Berechnung		9.4	-	1682	6	-	1682	k.A.			k.A.			k.A.			3.9	-	1682	3.9	-	1682	k.A.			0	-	1682	4.2	-	1682	0.1	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1262			Malibu Coconut (21 vol%)		Alkoholhaltige Getränke/Sonstige alkoholische Getränke	1.052	pro 100 ml	826	Automatisierte Berechnung		197	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	20.3	Schätzung	1129	20.3	Schätzung	1069	k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			16.6	Schätzung	1069	63.2	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
13434			Malzgetränk mit Kakao, Vitamine und Mineralien angereichert, pulver (Durchschnitt von Markenprodukten)		Alkoholfreie Getränke/Malzextrakthaltige Getränke		pro 100g essbarer Anteil	1620	Automatisierte Berechnung		382	Automatisierte Berechnung		3.6	-	1682	2.4	-	1682	k.A.			k.A.			k.A.			76.2	-	1682	52.1	-	1682	k.A.			4.5	-	1682	8.9	-	1682	0.5	-	1682	k.A.			k.A.			637	Automatisierte Berechnung		637	Automatisierte Berechnung		637	-	1682	k.A.			k.A.			0.88	-	1682	1.11	-	1682	1.11	-	1682	1.99	-	1682	12.74	-	1682	238	-	1682	4.78	-	1682	59.6	-	1682	4	-	1682	9.55	-	1682	k.A.			k.A.			k.A.			530	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
13433			Mandel Drink, nature, Calcium und Vitaminen angereichert (Durchschnitt von Markenprodukten)		Milch und Milchprodukte/Milchersatzprodukte	1	pro 100 ml	50	Automatisierte Berechnung		12	Automatisierte Berechnung		1.1	-	1682	0.1	-	1682	k.A.			k.A.			k.A.			0.3	-	1682	0.3	-	1682	k.A.			0.3	-	1682	0.2	-	1682	0.2	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			0.38	-	1682	k.A.			k.A.			k.A.			k.A.			0.8	-	1682	k.A.			k.A.			k.A.			k.A.			120	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
13428			Mandel Drink, nature (Durchschnitt von Markenprodukten)		Milch und Milchprodukte/Milchersatzprodukte	1	pro 100 ml	181	Automatisierte Berechnung		44	Automatisierte Berechnung		3.2	-	1682	0.3	-	1682	k.A.			k.A.			k.A.			2.3	-	1682	2	-	1682	k.A.			0.6	-	1682	1.1	-	1682	0.1	-	1682	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
538	4276	1001058	Mineralwasser Adelbodner		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	Schätzung	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	99.8	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.7	-	1680	0.7	-	1680	58	-	1680	3.9	-	1680	k.A.			k.A.			5	-	1680	k.A.			k.A.			Nein
1171	4623		Mineralwasser Adello		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	99.8	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0.2	-	1680	0.6	-	1680	0.7	-	1680	53	-	1680	3.7	-	1680	k.A.			k.A.			2.5	-	1680	k.A.			k.A.			Nein
540	4634	1001060	Mineralwasser Allegra (Malix)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	100	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.3	-	1680	0.3	-	1680	10	-	1680	2.4	-	1680	k.A.			k.A.			1	-	1680	k.A.			k.A.			Nein
1096	3929		Mineralwasser Appenzell (Gontenbad)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	100	Schätzung	1662	k.A.			k.A.			0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			0.1	-	1680	0.3	-	1680	0.6	-	1680	11	-	1680	1.7	-	1680	k.A.			k.A.			<1	-	1680	k.A.			k.A.			Nein
73	3968	821054	Mineralwasser Aproz (Aproz)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	k.A.			0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	k.A.			0	Schätzung	1662	99.8	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1662	0	Schätzung	1662	k.A.			0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0.3	-	1680	0.6	-	1680	2	-	1680	36	-	1680	7	-	1680	k.A.			k.A.			<0.5	-	1680	k.A.			k.A.			Nein
104	4024	822055	Mineralwasser Aquella (Bouillets)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	k.A.			0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	k.A.			0	Schätzung	1662	99.9	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1662	0	Schätzung	1662	k.A.			0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0	Schätzung	1662	0.3	-	1680	0.4	-	1680	1.6	-	1680	30	-	1680	7.5	-	1680	k.A.			k.A.			<0.5	-	1680	k.A.			k.A.			Nein
541	4001	1001061	Mineralwasser Arkina		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	100	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.9	-	1680	0.2	-	1680	8.5	-	1680	2.6	-	1680	Sp.	-	22	k.A.			<1	-	1680	k.A.			k.A.			Nein
1178	4663		Mineralwasser Badoit (St Galmier)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	99.9	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	1.1	-	1680	18	-	1680	5.4	-	1680	15	-	1680	8	-	1680	k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1172	4622		Mineralwasser Cristallo (Lostorf)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	99.9	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0.3	-	1013	0.4	-	1013	0.3	-	1013	22	-	1013	6.5	-	1013	k.A.			k.A.			<10	-	1680	k.A.			k.A.			Nein
1046	3558		Mineralwasser Cristalp (Saxon)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	99.9	Schätzung	1662	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			0.2	-	1680	2.2	-	1680	1.6	-	1680	12	-	1680	4.1	-	1680	k.A.			k.A.			<5	-	1680	k.A.			k.A.			Nein
1044	4237		Mineralwasser Elmer		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	100	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0.1	-	1680	0.3	-	1680	0	-	1680	12	-	1680	0.7	-	1680	k.A.			k.A.			<1	-	1680	k.A.			k.A.			Nein
48	4659	821020	Mineralwasser Eptinger		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	k.A.			0	Schätzung	51	99.8	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0.3	-	1013	0.4	-	1013	0.3	-	1013	51	-	1680	12	-	1013	k.A.			k.A.			<1	-	1680	k.A.			k.A.			Nein
521	4635	1001029	Mineralwasser Evian (Cachat)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	100	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1013	0.7	-	1013	1	-	1680	8	-	1013	2.6	-	1013	k.A.			k.A.			<0.1	-	1680	k.A.			k.A.			Nein
522	4003	1001030	Mineralwasser Henniez		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	99.9	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.1	-	1680	0.7	-	1680	0.8	-	1680	10	-	1680	2	-	1680	k.A.			k.A.			<1	-	1680	k.A.			k.A.			Nein
1173	4624		Mineralwasser Knutwiler		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	100	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0.1	-	1680	0.5	-	1680	0.6	-	1680	8.9	-	1680	2.4	-	1680	k.A.			k.A.			<1	-	1680	k.A.			k.A.			Nein
523	4636	1001032	Mineralwasser Passugger (Theophilquelle)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	99.9	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.3	-	1680	4.1	-	1680	1.6	-	1680	21	-	1680	2.2	-	1680	k.A.			k.A.			<10	-	1680	k.A.			k.A.			Nein
537	4044	1001057	Mineralwasser Rhäzünser		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	99.8	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.7	-	1680	15	-	1680	2.1	-	1680	23	-	1680	4.9	-	1680	k.A.			k.A.			<1	-	1680	k.A.			k.A.			Nein
525	4004	1001035	Mineralwasser San Pellegrino		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	-	22	0	-	22	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	0	Schätzung	51	0	-	22	0	-	22	k.A.			0	Schätzung	51	99.9	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0	-	22	0.2	-	1680	3.1	-	1680	4.9	-	1680	16	-	1680	5	-	1680	k.A.			k.A.			1.3	-	1680	k.A.			k.A.			Nein
1095	3612		Mineralwasser Valais (Montis)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	-	1025	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	100	Schätzung	1662	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			0.3	-	1680	0.7	-	1680	1.2	-	1680	9	-	1680	2.2	-	1680	k.A.			k.A.			<2	-	1680	k.A.			<0.1	-	1025	Nein
45	3581	821008	Mineralwasser Valser Classic/Naturelle (St. Petersquelle)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	k.A.			0	Schätzung	51	99.8	Schätzung	1662	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0	Schätzung	51	0.1	-	"1017;1680"	0.9	-	1680	0.2	-	1680	44	-	1680	5.5	-	1680	k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1047	3763		Mineralwasser Valser Silence (St. Paulsquelle)		Alkoholfreie Getränke/Mineralwasser	1	pro 100 ml	0	Automatisierte Berechnung		0	Automatisierte Berechnung		0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	0	Schätzung	1003	k.A.			0	Schätzung	1003	100	Schätzung	1662	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			0	-	1680	0	-	1680	<0.1	-	1680	5.4	-	1680	0.2	-	1680	k.A.			k.A.			0	-	1333	k.A.			k.A.			Nein
