ID	ID V 4.0	ID SwissFIR	Name	Synonyme	Kategorie	Spezifisches	Gewicht Matrixeinheit	Energie, Kilojoule	Herleitung des Wertes	Quelle	Energie, Kalorien	Herleitung des Wertes	Quelle	Fett, total (g)	Herleitung des Wertes	Quelle	Fettsäuren, gesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, einfach ungesättigt (g)	Herleitung des Wertes	Quelle	Fettsäuren, mehrfach ungesättigt (g)	Herleitung des Wertes	Quelle	Cholesterin (mg)	Herleitung des Wertes	Quelle	Kohlenhydrate, verfügbar (g)	Herleitung des Wertes	Quelle	Zucker (g)	Herleitung des Wertes	Quelle	Stärke (g)	Herleitung des Wertes	Quelle	Nahrungsfasern (g)	Herleitung des Wertes	Quelle	Protein (g)	Herleitung des Wertes	Quelle	Salz (NaCl) (g)	Herleitung des Wertes	Quelle	Alkohol (g)	Herleitung des Wertes	Quelle	Wasser (g)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RE (µg-RE)	Herleitung des Wertes	Quelle	Vitamin A-Aktivität, RAE (µg-RE)	Herleitung des Wertes	Quelle	All-trans Retinol-Äquivalente (µg-RE)	Herleitung des Wertes	Quelle	Betacarotin-Aktivität (µg-BCE)	Herleitung des Wertes	Quelle	Betacarotin (µg)	Herleitung des Wertes	Quelle	Vitamin B1 (Thiamin) (mg)	Herleitung des Wertes	Quelle	Vitamin B2 (Riboflavin) (mg)	Herleitung des Wertes	Quelle	Vitamin B6 (Pyridoxin) (mg)	Herleitung des Wertes	Quelle	Vitamin B12 (Cobalamin) (µg)	Herleitung des Wertes	Quelle	Niacin (mg)	Herleitung des Wertes	Quelle	Folat (µg)	Herleitung des Wertes	Quelle	Pantothensäure (mg)	Herleitung des Wertes	Quelle	Vitamin C (Ascorbinsäure) (mg)	Herleitung des Wertes	Quelle	Vitamin D (Calciferol) (µg)	Herleitung des Wertes	Quelle	Vitamin E-Aktivität (mg-ATE)	Herleitung des Wertes	Quelle	Kalium (K) (mg)	Herleitung des Wertes	Quelle	Natrium (Na) (mg)	Herleitung des Wertes	Quelle	Chlorid (Cl) (mg)	Herleitung des Wertes	Quelle	Calcium (Ca) (mg)	Herleitung des Wertes	Quelle	Magnesium (Mg) (mg)	Herleitung des Wertes	Quelle	Phosphor (P) (mg)	Herleitung des Wertes	Quelle	Eisen (Fe) (mg)	Herleitung des Wertes	Quelle	Jod (I) (µg)	Herleitung des Wertes	Quelle	Zink (Zn)  (mg)	Herleitung des Wertes	Quelle	Selen (Se) (µg)	Herleitung des Wertes	Quelle	Geänderter Eintrag
1155	3562		Cardinal sans alcool (<0.5 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	80	Automatisierte Berechnung		19	Automatisierte Berechnung		0	-	1056	0	-	1056	k.A.			k.A.			0	Schätzung	1003	3.5	-	1056	1	-	1056	k.A.			0	Schätzung	1003	<0.5	-	1056	k.A.			<0.4	-	1056	95.6	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1056	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1156	3587		Carlsberg Alkoholfrei (<0.5 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	80	Automatisierte Berechnung		19	Automatisierte Berechnung		0	-	1058	0	-	1058	k.A.			k.A.			0	Schätzung	1003	3.5	-	1058	1	-	1058	k.A.			0	Schätzung	1003	<0.5	-	1058	k.A.			<0.4	-	1058	95.6	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1058	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1139	3688		Carlsberg (Lagerbier, 5 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	167	Automatisierte Berechnung		40	Automatisierte Berechnung		0	-	1057	0	-	1057	k.A.			k.A.			0	Schätzung	1003	2.5	-	1057	<0.5	-	1057	k.A.			0	Schätzung	1003	<0.5	-	1057	k.A.			4	Schätzung	1057	93	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			<5	-	1057	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1256			Chivas Regal 12 years old blended Scotch Whisky (40 vol%)		Alkoholhaltige Getränke/Spirituosen	0.9	pro 100 ml	917	Automatisierte Berechnung		221	Automatisierte Berechnung		0	Schätzung	1129	k.A.			k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			k.A.			0	Schätzung	1129	0	Schätzung	1129	k.A.			31.6	Schätzung	1063	68.4	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1153	4084		Clausthaler Classic (0.45 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	112	Automatisierte Berechnung		27	Automatisierte Berechnung		0	-	1077	0	-	1077	k.A.			k.A.			k.A.			5.6	-	1077	2.8	-	1077	k.A.			0.4	-	1077	0.2	-	1077	k.A.			0.4	Schätzung	1077	93.4	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			2	-	1077	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1154	4108		Clausthaler Extra Herb (0.45 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	89	Automatisierte Berechnung		21	Automatisierte Berechnung		0	-	1077	0	-	1077	k.A.			k.A.			k.A.			4.3	-	1077	2.2	-	1077	k.A.			0.3	-	1077	0.2	-	1077	k.A.			0.4	Schätzung	1077	94.8	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			2	-	1077	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1157	3692		Eichhof Alkoholfrei (0.4 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	79	Automatisierte Berechnung		19	Automatisierte Berechnung		<0.1	-	1046	<0.1	-	1046	k.A.			k.A.			0	Schätzung	1003	3.5	-	1046	1.2	-	1046	k.A.			0.1	-	1046	0.4	-	1046	k.A.			0.3	Schätzung	1048	95.6	Automatisierte Berechnung		k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1	-	1046	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1147	4088		Eichhof Hubertus (Spezialbier dunkel, 6 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	189	Automatisierte Berechnung		45	Automatisierte Berechnung		<0.1	-	1045	<0.1	-	1045	k.A.			k.A.			0	Schätzung	1003	2.3	-	1045	0.1	-	1045	k.A.			0.2	-	1045	0.5	-	1045	k.A.			4.7	Schätzung	1047	92.3	Schätzung	1003	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			2	-	1045	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1148	4086		Eichhof Klosterbräu (Spezialbier Zwickel trüb, 5.1 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	164	Automatisierte Berechnung		39	Automatisierte Berechnung		<0.1	-	1045	<0.1	-	1045	k.A.			k.A.			0	Schätzung	1003	2.1	-	1045	0	-	1045	k.A.			0.1	-	1045	0.4	-	1045	k.A.			4	Schätzung	1047	93.3	Schätzung	1003	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1	-	1045	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
1149	4087		Eichhof Lager (4.8 vol%)		Alkoholhaltige Getränke/Bier	1	pro 100 ml	160	Automatisierte Berechnung		38	Automatisierte Berechnung		<0.1	-	1045	<0.1	-	1045	k.A.			k.A.			0	Schätzung	1003	2.2	-	1045	0.2	-	1045	k.A.			0.1	-	1045	0.5	-	1045	k.A.			3.8	Schätzung	1047	93.4	Schätzung	1003	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			1	-	1045	k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			k.A.			Nein
